# iterative call-graph alignment: 0xRVA|qualified_name|votes
0x00001020|MemoryManager::Instance|1
0x00001050|NiControllerSequence::IDTag::GetCtlrType|1
0x00001500|TESForm::QEndianSwapOnSave|29
0x00001660|TESFile::GetChunkSize|27
0x000018B0|AILinearTaskThread::AILinearTaskThread|1
0x00001930|BSLinearTaskThread::BSLinearTaskThread|1
0x00001970|NiObjectGarbage::Add|1
0x000019A0|ExtraCell3D::~ExtraCell3D|1
0x000024E0|TESForm::GetFormByEditorID|1
0x00002BC0|BGSEquipType::BGSEquipType|1
0x00002EA0|AlchemyItem::InitializeData|1
0x00002EF0|MagicItemObject::MagicItemObject|2
0x000030D0|PathingRequestCover::SetMaxHeightChange|1
0x00003570|CombatStyleData::Endian|1
0x000036B0|PathingRequestSafeStraightLine::GetTarget|1
0x000037B0|BSStringT<char>::BSStringT<char>|25
0x00003970|BSStringT<char>::Init|1
0x000039C0|BSStringT<char>::SetLength|1
0x00003A00|BSStringT<char>::SetMaxLength|1
0x00003E60|EffectSetting::IsFlagSet|3
0x00003EA0|EffectItem::GetActorValueIndex|1
0x00004010|BSShaderManager::IsRefractionEnabled|4
0x00004040|Setting::Float|1
0x000044D0|EffectItem::GetDuration|1
0x000045E0|EffectItem::GetScript|1
0x00004820|BSFile::Flush|1
0x000048E0|BSStringT<char>::Length|2
0x00004D00|SettingCollection<Setting>::SettingCollection<Setting>|2
0x00004D30|SettingCollection<Setting>::WriteSettings|2
0x00004D50|BSTCaseInsensitiveStringMap<Setting *>::BSTCaseInsensitiveStringMap<Setting *>|1
0x00004DC0|std::vector<FffTriDiffMorphS,std::allocator<FffTriDiffMorphS> >::operator[]|4
0x00004EB0|AutoMemContext::AutoMemContext|2
0x000056A0|EffectItemList::EffectItemList|1
0x00006340|TESFullName::TESFullName|1
0x000077C0|TESForm::GetTemporary|5
0x000077E0|Tile::TextToTrait|1
0x00007820|EffectSetting::GetEffectShader|1
0x00007A90|TESForm::GetFormID|2
0x00008820|Tile::Poke|2
0x00008970|ModelLoader::QueueModel|1
0x00008A20|TESModel::GetModelLength|1
0x00008A80|BSStringT<char>::StrCmp|1
0x00008D60|Setting::Bool|2
0x00009210|TESForm::SetFormType|2
0x00009310|EnchantmentItem::InitializeData|1
0x00009340|MagicItemForm::MagicItemForm|2
0x00009C40|IngredientItem::InitializeData|1
0x0000A1C0|EffectItemList::EffectItemList|1
0x0000A250|MagicItem::GetMagicItemByNumericID|1
0x0000AB70|MagicItem::FinishedLoading|1
0x0000B460|BSTask<__int64>::GetTaskCanceled|1
0x0000C0E0|BSStringT<char>::BSStringT<char>|1
0x0000C110|NiPointer<Model>::~NiPointer<Model>|1
0x0000E330|BSExtraData::GetExtraType|1
0x0000E9C0|BaseFormComponent::BaseFormComponent|1
0x0000EBD0|BSRandom::UnsignedInt|1
0x0000F2A0|BSExtraData::BSExtraData|1
0x0000F6E0|NiControllerSequence::GetName|1
0x0000FE80|BaseExtraList::HasExtra|1
0x000141E0|TESForm::QEndianSwapOnSave|1
0x00014430|NiColorA::NiColorA|1
0x00016870|NiColor::NiColor|2
0x00016B40|RADIO_DATA::RADIO_DATA|1
0x00018900|ListBox<PerkRankData *>::~ListBox<PerkRankData *>|1
0x00018F10|BSExtraData::BSExtraData|1
0x00019220|BSExtraData::BSExtraData|1
0x00019480|BSExtraData::BSExtraData|1
0x0001A250|BSSoundHandle::BSSoundHandle|11
0x0001BCE0|BSSpinLock::BSSpinLock|1
0x0001CA90|TESPackage::GetPackType|5
0x0001FD00|BSSoundHandle::BSSoundHandle|1
0x00020410|BaseExtraList::RemoveExtra|1
0x00020DD0|ExtraSavedAnimation::DeleteBuffer|1
0x00024940|NiPointer<BSShaderAccumulator>::operator->|1
0x00025FF0|BSExtraData::BSExtraData|1
0x000280F0|BGSChangeFlags::CheckFlags|7
0x0002CE30|BGSLoadFormBuffer::GetOldChangeFlags|2
0x0002F5D0|TESForm::AddChunk|1
0x0002F730|NiPointer<ActorCause>::NiPointer<ActorCause>|1
0x0002F760|NiPointer<ActorCause>::NiPointer<ActorCause>|1
0x0002F780|BSExtraData::BSExtraData|1
0x0002FA40|AStarNode<NavMeshSearchNode,NavMeshSearchLink>::GetNodeData|1
0x0002FB00|PathingRequest::GetDestination|1
0x00030830|TESObjectREFR::GetAngleOnReference|2
0x00030A10|TESForm::GetFormType|1
0x00031920|BSExtraData::BSExtraData|1
0x00032DA0|BSExtraData::BSExtraData|1
0x00033750|BSExtraData::BSExtraData|2
0x00035E00|CombatTimer::ElapsedTime|4
0x00036780|ExtraTalkingActor::CreateLocalMobileObjectCopy|1
0x00036AA0|TESForm::GetFile|1
0x00037B90|TESForm::GetDisabledOrDeleted|1
0x00037BF0|Actor::GetDetectionLevelValue|1
0x00038210|AutoMemContext::AutoMemContext|1
