# CommonLib-documented vtable methods: 0xRVA|Class::method
0x00401130|TESForm::FindInFileFast
0x00401150|TESForm::SetDelete
0x00401190|TESForm::SaveObjectBound
0x004011B0|TESForm::IsBoundObject
0x004011B0|TESForm::IsObject
0x004011D0|TESForm::IsMagicItem
0x004011D0|TESForm::IsWater
0x004011F0|TESForm::AsReference1
0x00401210|TESForm::AsReference2
0x00401230|TESForm::GetRefCount
0x00401250|TESForm::GetTextForParsedSubTag
0x00401270|TESObjectREFR::CheckForCurrentAliasPackage
0x00401280|TESBoundObject::GetActivateText
0x00401280|TESBoundObject::ReplaceModel
0x00401280|TESObjectREFR::SetCurrentScene
0x00401290|BoundItemEffect::ClearTargetImpl
0x00401290|ScriptEffect::ClearTargetImpl
0x00401290|TESBoundObject::CalculateDoFavor
0x00401290|TESForm::CreateDuplicateForm
0x00401290|TESForm::LoadEdit
0x00401290|TESObjectREFR::GetExclusiveBranch
0x00402B10|AlchemyItem::InitializeData
0x00402EA0|AlchemyItem::ClearData
0x00402EA0|AlchemyItem::GetDefaultKeyword
0x00408DA0|TESModel::SetModel
0x00409160|EnchantmentItem::InitializeData
0x00409310|EnchantmentItem::ClearData
0x0040F000|ExtraCellAcousticSpace::GetType
0x0040F140|ExtraCellImageSpace::GetType
0x0040F700|ExtraActivateLoopSound::GetType
0x0040F700|ExtraActivateRefChildren::GetType
0x0040F700|ExtraActorCause::GetType
0x0040F700|ExtraAshPileRef::GetType
0x0040F700|ExtraCannotWear::GetType
0x0040F700|ExtraCreatureMovementSound::GetType
0x0040F700|ExtraDroppedItemList::GetType
0x0040F700|ExtraEditorRefMoveData::GetType
0x0040F700|ExtraEnableStateChildren::GetType
0x0040F700|ExtraFactionChanges::GetType
0x0040F700|ExtraFollowerSwimBreadcrumbs::GetType
0x0040F700|ExtraLeveledCreature::GetType
0x0040F700|ExtraLinkedRefChildren::GetType
0x0040F700|ExtraModelSwap::GetType
0x0040F700|ExtraObjectHealth::GetType
0x0040F700|ExtraOpenCloseActivateRef::GetType
0x0040F700|ExtraPersistentCell::GetType
0x0040F700|ExtraPlayerCrimeList::GetType
0x0040F700|ExtraProcessMiddleLow::GetType
0x0040F700|ExtraReservedMarkers::GetType
0x0040F700|ExtraSavedAnimation::GetType
0x0040F700|ExtraSavedHavokData::GetType
0x0040F700|ExtraSayToTopicInfo::GetType
0x0040F700|ExtraStartingWorldOrCell::GetType
0x0040F700|ExtraTerminalState::GetType
0x0040F700|ExtraTresPassPackage::GetType
0x0040F700|ExtraWeaponAttackSound::GetType
0x0041FD20|ExtraPatrolRefData::GetType
0x00420300|ExtraPortalRefData::GetType
0x00430850|ExtraStartingPosition::GetType
0x00431030|ExtraGuardedRefData::GetType
0x004319D0|ExtraOriginalReference::GetType
0x00431A70|ExtraOwnership::GetType
0x00432770|ExtraPackageStartLocation::GetType
0x00433340|ExtraEnableStateParent::GetType
0x004334E0|ExtraRandomTeleportMarker::GetType
0x00433670|ExtraLinkedRef::GetType
0x00434620|ExtraReflectedRefs::GetType
0x004349C0|ExtraWaterLightRefs::GetType
0x00434BB0|ExtraReflectorRefs::GetType
0x00434E30|ExtraLitWaterRefs::GetType
0x00435070|ExtraLevCreaModifier::GetType
0x00435310|ExtraLastFinishedSequence::GetType
0x004354C0|ExtraEmittanceSource::GetType
0x00436AA0|TESObjectREFR::UpdateAnimation
0x00437370|ExtraPrimitive::GetType
0x00437A30|ExtraPatrolRefInUseData::GetType
0x0043FCD0|TESObjectREFR::GetBoundMax
0x004534F0|Actor::GetEyeVector
0x004534F0|Actor::SetRefraction
0x004534F0|BSMultiBoundShape::Unk_2E
0x004534F0|BSTempEffect::FinishLoadGame
0x004534F0|BSTempEffect::LoadGame
0x004534F0|NiCollisionObject::Unk_26
0x004534F0|TESActorBaseData::CopyFromTemplateForms
0x004534F0|TESBoundObject::OnFinishScale
0x004534F0|TESForm::FinishLoadGame
0x004534F0|TESForm::GetMustUpdate
0x004534F0|TESForm::GetObstacle
0x004534F0|TESForm::GetPlayable
0x004534F0|TESForm::QHasCurrents
0x004534F0|TESForm::QIsLODLandObject
0x004534F0|TESForm::SetFormID
0x004534F0|TESForm::SetOnLocalMap
0x004534F0|TESObjectREFR::GetBiped1
0x004534F0|TESObjectREFR::GetCurrentBiped
0x004534F0|TESObjectREFR::Load3D
0x004534F0|TESObjectREFR::SetBiped
0x004534F0|TESObjectREFR::SetObjectReference
0x004534F0|TESObjectREFR::ShouldPerformRevert
0x004534F0|bhkSerializable::Unk_30
0x0047C770|TESActorBaseData::GetIsGhost
0x0047C790|TESActorBaseData::GetInvulnerable
0x0047C7B0|TESActorBaseData::Unk_07
0x0047C7D0|TESActorBaseData::GetVoiceType
0x0047C850|Actor::InitiateCannibalPackage
0x0047C850|Actor::PayFine
0x0047C850|BSTempEffect::IsInterfaceEffect
0x0047C850|BSTempEffect::Update
0x0047C850|Explosion::FindTargets
0x0047C850|NavMesh::ProcessBeforeSave
0x0047C850|NavMesh::Save
0x0047C850|NavMesh::SavesBefore
0x0047C850|NiTimeController::SetTarget
0x0047C850|NiTimeController::Update
0x0047C850|TESBoundObject::OnCopyReference
0x0047C850|TESBoundObject::OnRemove3D
0x0047C850|TESForm::GetObjectTypeName
0x0047C850|TESForm::QAvailableInGame
0x0047C850|TESObject::Clone3D
0x0047C850|TESObject::DecRef
0x0047C850|TESObject::GetWaterType
0x0047C850|TESObject::IsAutoCalc
0x0047C850|TESObject::IsBoundAnimObject
0x0047C850|TESObject::LoadGraphics
0x0047C850|TESObject::SetAutoCalc
0x0047C850|TESObject::Unk_3B
0x0047C850|TESObjectREFR::ForceEditorLocation
0x0047C850|TESObjectREFR::GetAllowPromoteToPersistent
0x0047C850|TESObjectREFR::GetCurrent3D
0x0047C850|TESObjectREFR::GetEditorLocation2
