# constructor-candidate names: 0x<rva>|<Class::Class>|0x<vtable_va>
0x00001020|AlchemyItem::AlchemyItem|0x01011844
0x00002956|Setting::Setting|0x01012120
0x00002990|Setting::Setting|0x01012120
0x00002A43|?$SettingT@VGameSettingCollection::?$SettingT@VGameSettingCollection|0x01012114
0x00002B40|GameSettingCollection::GameSettingCollection|0x0101212C
0x00002C20|?$SettingCollectionMap@VSetting::?$SettingCollectionMap@VSetting|0x0101215C
0x00002C40|?$SettingCollectionMap@VSetting::?$SettingCollectionMap@VSetting|0x0101215C
0x00002C90|?$SettingCollection@VSetting::?$SettingCollection@VSetting|0x01012188
0x00002D30|?$SettingCollection@VSetting::?$SettingCollection@VSetting|0x01012188
0x00002E0B|?$BSTCaseInsensitiveStringMap@PAVSetting::?$BSTCaseInsensitiveStringMap@PAVSetting|0x010121B4
0x00003280|?$NiTStringTemplateMap@V?$NiTMap@PBDPAVSetting::?$NiTStringTemplateMap@V?$NiTMap@PBDPAVSetting|0x01012238
0x00003431|?$NiTMapBase@V?$DFALL@V?$NiTMapItem@PBDPAVSetting::?$NiTMapBase@V?$DFALL@V?$NiTMapItem@PBDPAVSetting|0x01012278
0x00003590|?$NiTStringMap@PAVSetting::?$NiTStringMap@PAVSetting|0x01012298
0x00003600|?$NiTStringTemplateMap@V?$NiTMap@PBDPAVSetting::?$NiTStringTemplateMap@V?$NiTMap@PBDPAVSetting|0x01012238
0x00003660|?$NiTMapBase@V?$DFALL@V?$NiTMapItem@PBDPAVSetting::?$NiTMapBase@V?$DFALL@V?$NiTMapItem@PBDPAVSetting|0x01012278
0x000036D0|EffectItemList::EffectItemList|0x01012508
0x00004EB0|StatsMenu::StatusDataList::StatusDataList|0x01012650
0x00005310|EffectSetting::EffectSetting|0x010127C0
0x00007178|EnchantmentItem::EnchantmentItem|0x01012E44
0x00007200|MagicItemForm::MagicItemForm|0x01012FE4
0x00007300|EnchantmentItem::EnchantmentItem|0x01012E44
0x00007A90|IngredientItem::IngredientItem|0x01013190
0x00007BDF|IngredientItem::IngredientItem|0x01013190
0x000081DC|MagicItem::MagicItem|0x01011CF4
0x00008A60|BGSNote::BGSNote|0x01046850
0x0000A1C0|?$SettingT@VGameSettingCollection::?$SettingT@VGameSettingCollection|0x01012114
0x0000C110|?$SettingT@VGameSettingCollection::?$SettingT@VGameSettingCollection|0x01012114
0x0000C150|Setting::Setting|0x01012120
0x0000C1D0|SpellItem::SpellItem|0x01013F28
0x0000C3EC|SpellItem::SpellItem|0x01013F28
0x0000CE91|ExtraHavok::ExtraHavok|0x0101421C
0x0000CEBC|ExtraHavok::ExtraHavok|0x0101421C
0x0000D499|ExtraCellCanopyShadowMask::ExtraCellCanopyShadowMask|0x01014288
0x0000DABD|BaseExtraList::BaseExtraList|0x01014300
0x0000FC90|ExtraReflectorRefs::ExtraReflectorRefs|0x01014434
