# rva|class_name
0x00001A10|BGSHungerStage
0x000020F0|BGSSleepDeprevationStage
0x00002820|AlchemyItem
0x00002B40|MagicItemObject
0x00002C20|TESIcon
0x00002C90|MagicItem
0x00002D00|TESFullName
0x00002D30|BaseFormComponent
0x00002D50|AlchemyItem
0x00004920|Setting
0x00004A00|?$SettingT@VGameSettingCollection
0x00004B10|GameSettingCollection
0x00004B90|?$SettingCollectionMap@VSetting
0x00004C00|?$SettingCollectionMap@VSetting
0x00004C80|?$SettingCollection@VSetting
0x00005250|?$NiTStringTemplateMap@V?$NiTMap@PBDPAVSetting
0x00005310|?$NiTMap@PBDPAVSetting
0x00005370|?$NiTMapBase@V?$DFALL@V?$NiTMapItem@PBDPAVSetting
0x00005570|?$NiTStringMap@PAVSetting
0x000055D0|?$NiTStringTemplateMap@V?$NiTMap@PBDPAVSetting
0x00005600|?$NiTMap@PBDPAVSetting
0x00005630|?$NiTMapBase@V?$DFALL@V?$NiTMapItem@PBDPAVSetting
0x00006DE0|StatsMenu::StatusDataList
0x00007020|EffectSetting
0x00007230|EffectSetting
0x00009080|EnchantmentItem
0x00009190|MagicItemForm
0x000092A0|EnchantmentItem
0x000098F0|IngredientItem
0x00009B40|IngredientItem
0x0000A140|MagicItem
0x0000C150|?$SettingT@VGameSettingCollection
0x0000E0B0|?$SettingT@VGameSettingCollection
0x0000E130|Setting
0x0000E2C0|SpellItem
0x0000EC00|ExtraCell3D
0x0000EC80|BSExtraData
0x0000ECB0|BSExtraData
0x0000ED30|ExtraCell3D
0x0000EDA0|ExtraHavok
0x0000EE70|ExtraHavok
0x0000EF00|ExtraRegionList
0x0000EFD0|ExtraCellAcousticSpace
0x0000F1B0|ExtraCellImpactSwap
0x0000F210|ExtraCellImpactSwap
0x0000F370|ExtraCellWaterType
0x0000F410|ExtraProcessMiddleLow
0x0000F440|ExtraCellCanopyShadowMask
0x0000F590|ExtraSeenData
0x0000F680|ExtraNorthRotation
0x0000F6B0|ExtraDetachTime
0x0000F740|BaseExtraList
0x0000F7B0|BaseExtraList
0x00010360|ExtraDataList
0x000103B0|ExtraDataList
0x00011B40|ExtraReflectedRefs
0x00011BE0|ExtraReflectorRefs
0x00011C80|ExtraWaterLightRefs
0x00011D20|ExtraLitWaterRefs
0x00011E40|ExtraSpecialRenderFlags
0x00011EA0|ExtraSpecialRenderFlags
0x00016AD0|ExtraNavMeshPortal
0x000183E0|ExtraRadioData
0x0001B650|ExtraHealthPerc
0x0001B790|ExtraObjectHealth
0x0001BEF0|ExtraTerminalState
0x0001C5E0|ExtraEditorID
0x0001E750|ExtraOpenCloseActivateRef
0x0001FB50|ExtraPrimitive
0x0001FCD0|ExtraPatrolRefData
0x0001FF80|ExtraOcclusionPlaneRefData
0x000202D0|ExtraPortalRefData
0x00020500|ExtraRoomRefData
0x00021090|ExtraCollisionData
0x00021160|ExtraCollisionData
0x000222F0|ExtraRadius
0x00022420|ExtraRadiation
0x0002C4B0|ExtraLock
0x0002C580|ExtraTeleport
0x0002C5E0|ExtraOwnership
0x0002C610|ExtraGlobal
0x0002C640|ExtraRank
0x0002C670|ExtraCount
0x0002C6A0|ExtraHealth
0x0002C6D0|ExtraUses
0x0002C7D0|ExtraScale
0x0002C800|ExtraHotKey
0x0002C830|ExtraReferencePointer
0x0002C860|ExtraTresPassPackage
0x0002C8C0|ExtraLeveledItem
0x0002C900|ExtraPoison
0x0002C930|ExtraHeadingTarget
0x0002C9C0|ExtraObjectHealth
0x0002C9F0|ExtraModelSwap
0x0002CA30|ExtraRadius
0x0002CA60|ExtraRadiation
0x0002CA90|ExtraActorCause
0x0002CB30|ExtraActorCause
0x0002CBA0|ExtraAmmo
0x0002CBE0|ExtraPackageData
0x0002CC40|ExtraWeaponModFlags
0x0002CCA0|ExtraWeaponModFlags
0x0002CCC0|ExtraSecuritronFace
0x0002E210|ExtraModelSwap
0x0002E450|ExtraWeaponModFlags
0x0002E650|ExtraModdingItem
0x0002E6D0|ExtraModdingItem
0x0002EC30|ExtraAmmo
0x0002F4E0|?$NiTMap@PAVTESObjectREFR
0x0002F570|?$BSSimpleArray@PAVTESBoundObject
0x0002F7D0|?$BSSimpleArray@VNavMeshPtr
0x0002F800|?$BSSimpleArray@VNavMeshPtr
0x0002F830|?$BSSimpleArray@VNavMeshPtr
0x0002FE10|?$NiTMapBase@V?$DFALL@V?$NiTMapItem@PAVTESObjectREFR
0x0002FEE0|?$NiTMapBase@V?$DFALL@V?$NiTMapItem@PAVTESObjectREFR
0x0002FF80|?$BSSimpleArray@PAVTESBoundObject
0x00030120|ExtraAnim
