# Ghidra-xref-discovered ctor names: 0xRVA|Class::Class
0x00001A10|BGSHungerStage::BGSHungerStage
0x000020F0|BGSSleepDeprevationStage::BGSSleepDeprevationStage
0x00002820|AlchemyItem::AlchemyItem
0x00002B40|MagicItemObject::MagicItemObject
0x00002C20|TESIcon::TESIcon
0x00002C90|MagicItem::MagicItem
0x00002D00|TESFullName::TESFullName
0x00002D30|BaseFormComponent::BaseFormComponent
0x00002D50|AlchemyItem::AlchemyItem
0x00004920|Setting::Setting
0x00004A00|SettingT<GameSettingCollection>::SettingT<GameSettingCollection>
0x00004B10|GameSettingCollection::GameSettingCollection
0x00004B90|SettingCollectionMap<Setting>::SettingCollectionMap<Setting>
0x00004C00|SettingCollectionMap<Setting>::SettingCollectionMap<Setting>
0x00005250|?$NiTStringTemplateMap@V?$NiTMap@PBDPAVSetting::?$NiTStringTemplateMap@V?$NiTMap@PBDPAVSetting
0x00005310|NiTMap<char const *,Setting *>::NiTMap<char const *,Setting *>
0x00005370|?$NiTMapBase@V?$DFALL@V?$NiTMapItem@PBDPAVSetting::?$NiTMapBase@V?$DFALL@V?$NiTMapItem@PBDPAVSetting
0x00005570|NiTStringMap<Setting *>::NiTStringMap<Setting *>
0x000055D0|?$NiTStringTemplateMap@V?$NiTMap@PBDPAVSetting::?$NiTStringTemplateMap@V?$NiTMap@PBDPAVSetting
0x00005600|NiTMap<char const *,Setting *>::NiTMap<char const *,Setting *>
0x00005630|?$NiTMapBase@V?$DFALL@V?$NiTMapItem@PBDPAVSetting::?$NiTMapBase@V?$DFALL@V?$NiTMapItem@PBDPAVSetting
0x00006DE0|StatsMenu::StatusDataList::StatusDataList
0x00007020|EffectSetting::EffectSetting
0x00007230|EffectSetting::EffectSetting
0x00009080|EnchantmentItem::EnchantmentItem
0x00009190|MagicItemForm::MagicItemForm
0x000092A0|EnchantmentItem::EnchantmentItem
0x000098F0|IngredientItem::IngredientItem
0x00009B40|IngredientItem::IngredientItem
0x0000A140|MagicItem::MagicItem
0x0000C150|SettingT<GameSettingCollection>::SettingT<GameSettingCollection>
0x0000E130|Setting::Setting
0x0000E2C0|SpellItem::SpellItem
0x0000EC00|ExtraCell3D::ExtraCell3D
0x0000EC80|BSExtraData::BSExtraData
0x0000ECB0|BSExtraData::BSExtraData
0x0000ED30|ExtraCell3D::ExtraCell3D
0x0000EDA0|ExtraHavok::ExtraHavok
0x0000EE70|ExtraHavok::ExtraHavok
0x0000EF00|ExtraRegionList::ExtraRegionList
0x0000EFD0|ExtraCellAcousticSpace::ExtraCellAcousticSpace
0x0000F1B0|ExtraCellImpactSwap::ExtraCellImpactSwap
0x0000F210|ExtraCellImpactSwap::ExtraCellImpactSwap
0x0000F370|ExtraCellWaterType::ExtraCellWaterType
0x0000F410|ExtraProcessMiddleLow::ExtraProcessMiddleLow
0x0000F440|ExtraCellCanopyShadowMask::ExtraCellCanopyShadowMask
0x0000F590|ExtraSeenData::ExtraSeenData
0x0000F680|ExtraNorthRotation::ExtraNorthRotation
0x0000F6B0|ExtraDetachTime::ExtraDetachTime
0x0000F740|BaseExtraList::BaseExtraList
0x0000F7B0|BaseExtraList::BaseExtraList
0x00010360|ExtraDataList::ExtraDataList
0x000103B0|ExtraDataList::ExtraDataList
0x00011B40|ExtraReflectedRefs::ExtraReflectedRefs
0x00011BE0|ExtraReflectorRefs::ExtraReflectorRefs
0x00011C80|ExtraWaterLightRefs::ExtraWaterLightRefs
0x00011D20|ExtraLitWaterRefs::ExtraLitWaterRefs
0x00011E40|ExtraSpecialRenderFlags::ExtraSpecialRenderFlags
0x00011EA0|ExtraSpecialRenderFlags::ExtraSpecialRenderFlags
0x00016AD0|ExtraNavMeshPortal::ExtraNavMeshPortal
0x000183E0|ExtraRadioData::ExtraRadioData
0x0001B650|ExtraHealthPerc::ExtraHealthPerc
0x0001B790|ExtraObjectHealth::ExtraObjectHealth
0x0001BEF0|ExtraTerminalState::ExtraTerminalState
0x0001C5E0|ExtraEditorID::ExtraEditorID
0x0001E750|ExtraOpenCloseActivateRef::ExtraOpenCloseActivateRef
0x0001FB50|ExtraPrimitive::ExtraPrimitive
0x0001FCD0|ExtraPatrolRefData::ExtraPatrolRefData
0x0001FF80|ExtraOcclusionPlaneRefData::ExtraOcclusionPlaneRefData
0x000202D0|ExtraPortalRefData::ExtraPortalRefData
0x00020500|ExtraRoomRefData::ExtraRoomRefData
0x00021090|ExtraCollisionData::ExtraCollisionData
0x00021160|ExtraCollisionData::ExtraCollisionData
0x000222F0|ExtraRadius::ExtraRadius
0x00022420|ExtraRadiation::ExtraRadiation
0x0002C4B0|ExtraLock::ExtraLock
0x0002C580|ExtraTeleport::ExtraTeleport
0x0002C5E0|ExtraOwnership::ExtraOwnership
0x0002C610|ExtraGlobal::ExtraGlobal
0x0002C640|ExtraRank::ExtraRank
0x0002C670|ExtraCount::ExtraCount
0x0002C6A0|ExtraHealth::ExtraHealth
0x0002C6D0|ExtraUses::ExtraUses
0x0002C7D0|ExtraScale::ExtraScale
0x0002C800|ExtraHotKey::ExtraHotKey
0x0002C830|ExtraReferencePointer::ExtraReferencePointer
0x0002C860|ExtraTresPassPackage::ExtraTresPassPackage
0x0002C8C0|ExtraLeveledItem::ExtraLeveledItem
0x0002C900|ExtraPoison::ExtraPoison
0x0002C930|ExtraHeadingTarget::ExtraHeadingTarget
0x0002C9C0|ExtraObjectHealth::ExtraObjectHealth
0x0002C9F0|ExtraModelSwap::ExtraModelSwap
0x0002CA30|ExtraRadius::ExtraRadius
0x0002CA60|ExtraRadiation::ExtraRadiation
0x0002CA90|ExtraActorCause::ExtraActorCause
0x0002CB30|ExtraActorCause::ExtraActorCause
0x0002CBA0|ExtraAmmo::ExtraAmmo
0x0002CBE0|ExtraPackageData::ExtraPackageData
0x0002CC40|ExtraWeaponModFlags::ExtraWeaponModFlags
0x0002CCA0|ExtraWeaponModFlags::ExtraWeaponModFlags
0x0002CCC0|ExtraSecuritronFace::ExtraSecuritronFace
0x0002E210|ExtraModelSwap::ExtraModelSwap
0x0002E450|ExtraWeaponModFlags::ExtraWeaponModFlags
0x0002E650|ExtraModdingItem::ExtraModdingItem
0x0002E6D0|ExtraModdingItem::ExtraModdingItem
0x0002EC30|ExtraAmmo::ExtraAmmo
0x0002F4E0|NiTMap<TESObjectREFR *>::NiTMap<TESObjectREFR *>
0x0002F570|BSSimpleArray<TESBoundObject *>::BSSimpleArray<TESBoundObject *>
0x0002F7D0|BSSimpleArray<NavMeshPtr>::BSSimpleArray<NavMeshPtr>
0x0002F800|BSSimpleArray<NavMeshPtr>::BSSimpleArray<NavMeshPtr>
0x0002F830|BSSimpleArray<NavMeshPtr>::BSSimpleArray<NavMeshPtr>
0x0002FE10|?$NiTMapBase@V?$DFALL@V?$NiTMapItem@PAVTESObjectREFR::?$NiTMapBase@V?$DFALL@V?$NiTMapItem@PAVTESObjectREFR
0x0002FEE0|?$NiTMapBase@V?$DFALL@V?$NiTMapItem@PAVTESObjectREFR::?$NiTMapBase@V?$DFALL@V?$NiTMapItem@PAVTESObjectREFR
0x0002FF80|BSSimpleArray<TESBoundObject *>::BSSimpleArray<TESBoundObject *>
0x00030120|ExtraAnim::ExtraAnim
0x000302D0|ExtraDismemberedLimbs::ExtraDismemberedLimbs
0x00030780|ExtraStartingPosition::ExtraStartingPosition
0x000308C0|ExtraStartingWorldOrCell::ExtraStartingWorldOrCell
