# user dtors inferred from deleting-dtor first-call: 0xRVA|Class::~Class
0x000037F0|DebugTextExtraData::~DebugTextExtraData
0x00004A00|Setting::~Setting
0x0000ECB0|ExtraSpecialRenderFlags::~ExtraSpecialRenderFlags
0x0000ED30|ExtraCell3D::~ExtraCell3D
0x0000EE70|ExtraHavok::~ExtraHavok
0x0000F210|ExtraCellImpactSwap::~ExtraCellImpactSwap
0x0000F5F0|ExtraSeenData::~ExtraSeenData
0x000103B0|BaseExtraList::~BaseExtraList
0x00011EA0|ExtraSpecialRenderFlags::~ExtraSpecialRenderFlags
0x0001C690|ExtraEditorID::~ExtraEditorID
0x0001FB50|ExtraPrimitive::~ExtraPrimitive
0x00021160|ExtraCollisionData::~ExtraCollisionData
0x0002CB30|ExtraActorCause::~ExtraActorCause
0x0002CCA0|ExtraSpecialRenderFlags::~ExtraSpecialRenderFlags
0x0002E6D0|ExtraSpecialRenderFlags::~ExtraSpecialRenderFlags
0x00030120|ExtraAnim::~ExtraAnim
0x000302D0|ExtraDismemberedLimbs::~ExtraDismemberedLimbs
0x00030950|ExtraLight::~ExtraLight
0x00030CA0|ExtraLock::~ExtraLock
0x00030EA0|ExtraFollower::~ExtraFollower
0x00031260|ExtraTeleport::~ExtraTeleport
0x000313C0|ExtraMapMarker::~ExtraMapMarker
0x00031520|ExtraAudioMarker::~ExtraAudioMarker
0x00031680|ExtraAudioBuoyMarker::~ExtraAudioBuoyMarker
0x00031890|ExtraContainerChanges::~ExtraContainerChanges
0x000319B0|ExtraSpecialRenderFlags::~ExtraSpecialRenderFlags
0x00032040|ExtraScript::~ExtraScript
0x000323B0|ExtraInfoGeneralTopic::~ExtraInfoGeneralTopic
0x00032900|ExtraTresPassPackage::~ExtraTresPassPackage
0x00032B50|ExtraPlayerCrimeList::~ExtraPlayerCrimeList
0x00032C90|ExtraSpecialRenderFlags::~ExtraSpecialRenderFlags
0x00032D10|ExtraRagDollData::~ExtraRagDollData
0x00032F30|ExtraSpecialRenderFlags::~ExtraSpecialRenderFlags
0x000330E0|ExtraRunOncePacks::~ExtraRunOncePacks
0x00033440|ExtraEnableStateChildren::~ExtraEnableStateChildren
0x000335D0|ExtraLinkedRefChildren::~ExtraLinkedRefChildren
0x00033830|ExtraActivateRefChildren::~ExtraActivateRefChildren
0x00033970|ExtraActivateRef::~ExtraActivateRef
0x00034560|ExtraReflectedRefs::~ExtraReflectedRefs
0x00034950|ExtraWaterLightRefs::~ExtraWaterLightRefs
0x00034AF0|ExtraReflectorRefs::~ExtraReflectorRefs
0x00034DC0|ExtraLitWaterRefs::~ExtraLitWaterRefs
0x000352A0|ExtraLastFinishedSequence::~ExtraLastFinishedSequence
0x000353D0|ExtraSpecialRenderFlags::~ExtraSpecialRenderFlags
0x000354A0|ExtraSpecialRenderFlags::~ExtraSpecialRenderFlags
0x000355F0|ExtraMultiBoundData::~ExtraMultiBoundData
0x00035740|ExtraMultiBound::~ExtraMultiBound
0x000359F0|ExtraDroppedItemList::~ExtraDroppedItemList
0x00035F80|ExtraSpecialRenderFlags::~ExtraSpecialRenderFlags
0x00036180|ExtraSpecialRenderFlags::~ExtraSpecialRenderFlags
0x000362A0|ExtraSpecialRenderFlags::~ExtraSpecialRenderFlags
