# Ghidra-paired global labels: 0xRVA|name
0x00BDF044|hkQuadRealHalf
0x00BDF05C|hkMonitorStreamFrameInfoClass
0x00BDF060|fDebugCombatTextSize
0x00C11584|iXenonMenuStickDeadZone
0x00C11588|hkQuadRealHalf
0x00C11590|hkHavokCurrentClasses::VersionString
0x00C11D78|hkQuadRealHalf
0x00C12054|sYes
0x00C12060|fDebrisFadeTime
0x00C12068|hkQuadReal0001
0x00C12070|fScreenLightPulseModifier
0x00C120F0|sOpenWithKey
0x00C13C04|sRepairItem
0x00C13C18|sLanguage
0x00C16248|hkQuadReal0010
0x00C162C0|sNotEnoughRoomWarning
0x00C16840|uGridsToLoad
0x00C16B04|uGridsToLoad
0x00C17718|hkQuadReal1000
0x00C178B4|uGridsToLoad
0x00C17B70|hkQuadRealHalf
0x00C17D00|bCutDoors
0x00C17D10|hkQuadRealHalf
0x00C181BC|fScreenLightVertHoldRate
0x00C1A6B0|iChanceFleeDialog
0x00C1A8FC|bAnimateDoorPhysics
0x00C1B2D0|fScreenLightBurstModifier
0x00C1CBA8|hkQuadReal0000
0x00C1DF44|g_MemoryHelper
0x00C1E704|Procedure_Action
0x00C208A0|sDropQuestItemWarning
0x00C20FE4|iTaskManagerThread
0x00C23CD8|sRemoveItemfromInventory
0x00C2CA98|fDangerousProjectileExplosionRadius
0x00C2F0F8|sRepairSkillTooLow
0x00C374A0|scriptBlocks
0x00C48D54|sEquipItemOnPlayer
0x00C48D80|sImpossibleLock
0x00C4AAE0|bDebugSaveBuffer
0x00C4DA4C|hkQuadReal1111
0x00C4E148|hkQuadReal0000
0x00C4E6AC|appCalendar
0x00C59CEC|sUnequipItemOnPlayer
0x00C5AF58|iNumHWThreads
0x00C6B9E8|hkQuadRealHalf
0x00C6C2E0|hkQuadRealHalf
0x00C6EB78|pSexPronounGS
0x00C702D8|iXenonMenuStickDeadZone
0x00C705F8|iInventoryAskQuantityAt
0x00C718F0|appTimer
0x00C7266C|bDialogueSubtitles
0x00C72690|fDialogFocalDepthRange
0x00C739A0|fScrollKnobIncrement
0x00C73A94|sNoJumpWarning
0x00C73AAC|sMaintainItem
0x00C74048|fLockpickBonusHealth
0x00C757FC|sEnterName
0x00C75C5C|sExit
0x00C7841C|appTimer
0x00C7A8E8|fShockCastVOffset
0x00C7A8F4|fMagicTrackingMultBolt
0x00C7AD78|fMagicCloudDurationMin
0x00C7AD84|fMagicProjectileBaseSpeed
0x00C7EE00|pGSDay
0x00C8326C|bDisplayTimersByThread
0x00C83280|pVATS
0x00C832A8|fSwimRadiationDamageMult
0x00C84B18|animGroupInfo
0x00C85948|ReferenceProcessLists
0x00C85954|iArrowMaxRefCount
0x00C87864|fIdleChatterCommentTimerMax
0x00C8A92C|iDifficulty
0x00C8A974|fCameraCasterSize
0x00C8A9A4|iKillCamera
0x00C8A9DC|chaseCameraPos
0x00C8AA30|fOverShoulderFOV
0x00C8AA3C|fSortActorDistanceListTimer
0x00C900DC|fRockitDamageBonusWeightMin
0x00C95728|bDebugCombatCoverReservations
0x00C9B220|sSpeechChallengeFailure
0x00CA323C|bMultiThreadAudio
0x00CB0158|bDoTestHDR
0x00CB2610|bDoTestHDR
0x00CC44D0|hkQuadReal1111
0x00CC6714|hkQuadRealHalf
0x00CC6F4C|hkpWorldObjectClass
0x00CC6FEC|hkpShapeClass
0x00CC7160|hkQuadReal1111
0x00CC7170|hkQuadRealHalf
0x00CC7190|hkQuadRealHalf
0x00CC71A0|hkQuadRealMinusHalf
0x00CC71C0|hkQuadReal0001
0x00CC71D0|hkQuadRealHalf
0x00CC71E0|hkQuadReal1111
0x00CC92E0|hkQuadReal0000
0x00CCB830|hkQuadRealHalf
0x00CCBD0C|hkQuadReal0001
0x00CCC2FC|hkQuadRealHalf
0x00CCC40C|hkpShapeClass
0x00CCD5CC|hkQuadRealHalf
0x00CCE25C|hkQuadRealHalf
0x00CCFD44|hkpPhantomClass
0x00CD0D64|hkpBvTreeShapeClass
0x00CD0E18|hkQuadRealHalf
0x00CD0F68|hkQuadRealHalf
0x00CD1508|hkMonitorStreamFrameInfoClass
0x00CD1F0C|hkQuadReal1111
0x00CD5378|hkTransformIdentity
0x00CD65A8|hkClassEnumItemClass
0x00CD65BC|hkClassClass
0x00CD6708|hkClassClass
0x00CD7E48|hkMonitorStreamFrameInfoClass
0x00CE222C|hkQuadRealHalf
0x00CE57A4|hkQsTransformIdentity
0x00CE8894|hkTransformIdentity
0x00CE88B4|hkTransformIdentity
0x00CEA370|hkClassMemberClass
0x00CEA5DC|hkQuadRealHalf
0x00CEA630|hkQuaternionIdentity
0x00CEB000|hkQuadReal0000
0x00CEB828|hkQuadRealHalf
0x00CEBF10|hkQuadRealHalf
0x00CEC7F0|hkQuadReal1111
0x00D83AA0|iVATSConcentratedFireBonus
0x00D841CC|appTimer
0x00D846A0|appCalendar
0x00D846D4|PackageTypeNames
0x00D84920|Procedure_Action
0x00D87020|formEnumString
0x00D8A8A8|pCombatWeaponTypeName
0x00D8C000|ReferenceProcessLists
0x00D8C6F4|fFleeDistanceExterior
0x00D96D18|expressionErrors
0x00DA03E4|sNoFastTravelUndiscovered
0x00DA0B68|bVatsAlwaysHit
0x00DA3328|appTimer
0x00DA4284|pCombatActionData
0x00DA55B4|fExplosionShudderDurationX
0x00DA5700|pCombatVariableName
0x00DB3770|hkQuadRealHalf
0x00DB3B4C|hkQuadReal0000
0x00DB6D70|hkVector4Util::hkAabbUint32MaxVal
0x00DB7A7C|hkClassMemberClass
0x00DB7AEC|hkClassEnumClass
0x00DC16BC|sRemoteActivation
0x00DC3598|sCancel
0x00DC3E7C|bSaveOnRest
0x00DC3F2C|sLanguage
0x00DC5510|pPerkOwner
0x00DC61B4|pVATS
0x00DC786C|scriptConsole
0x00DCD0FC|iMaxCharacterLevel
0x00DCDAD0|iNumberActorsAllowedToFollowPlayer
0x00DCF48C|weaponToAnimGroupWeapon
0x00DCF84C|fCombatDistance
0x00DCFB78|fGrenadeHighArcSpeedMult
0x00DD17AC|fMagicVACPartTargetedMult
0x00DD1860|fMagicVACNoPartTargetedMult
0x00DD1CF4|fMagicTelekinesisMoveAccelerate
0x00DD1D24|fMagicTelekinesisMoveMax
0x00DD1E18|fMiniBurstIntensity
0x00DD2460|sMoveMarker
0x00DD34F8|sRSMConfirmRandomize
0x00DD3684|sNo
0x00DD5168|psTargetTypes
0x00DD8974|bSaveOnWait
0x00DD89F0|fFadeToBlackFadeSeconds
0x00DD8EA8|sRecipes
0x00DD8F08|fPackRatThreshold
0x00DD9050|pCombatWeaponTypeName
0x00DD94FC|appTimer
0x00DD95C0|sHackingGranted
0x00DD96C0|sQuestFailed
0x00DD970C|sRepairItem
0x00DD9EA4|sCantRemoveWornItem
0x00DD9EA8|sCantHotkeyBrokenItem
0x00DD9EB8|iInventoryAskQuantityAt
0x00DD9FD0|fScrollKnobIncrement
0x00DD9FF4|iSkillPointsTagSkillMult
0x00DDA0C0|sButtonLocked
0x00DDA0C4|iXenonMenuStickDeadZone
0x00DDA28C|sLockBroken
0x00DDA290|cpmaxConcentricLengthA
0x00DDA344|sSetMarkerQuestion
0x00DDA368|bRenderLocalMapContinually
0x00DDA36D|sNo
0x00DDA36E|sMoveMarkerQuestion
0x00DDA36F|fNoteGreyOutTime
0x00DDA3B8|appTimer
0x00DDA524|sRSMSex
0x00DDA634|sRSMCustom
0x00DDA760|sSelectItemToRepair
0x00DDA7D8|sRepairItem
0x00DDA7DC|fRepairSkillBase
0x00DDA904|sLuckyWinText
0x00DDA908|sYouLoseText
0x00DDA914|sPlural
0x00DDA918|sHour
0x00DDAA2C|sPlural
0x00DDAA30|sYouWinText
0x00DDAA38|sPressStart
0x00DDAA9C|sConfirmWarning
0x00DDAAB4|sNo
0x00DDAAC0|sResetToDefaults
0x00DDAB1C|sDelete
0x00DDB0D4|iVATSConcentratedFireBonus
0x00DDB2F0|fScrollKnobRate
0x00DDB370|fTabKnobMoveRate
0x00DDB408|fDefaultDistortHorizontalScale
0x00DDDA00|bDebugSaveBuffer
0x00DDDF38|fCombatRoundAmount
0x00DDE45C|bDebugSaveBuffer
0x00DDE7B8|Procedure_Action
0x00DDEA0C|ReferenceProcessLists
0x00DDEA10|FaderData
0x00DDEA3C|pVATS
0x00DDEA70|appTimer
0x00DDED5C|fTurboTimeMultiplier
0x00DDFB98|TaskQueue
0x00DDFBE8|UpdatingMovement
0x00DDFC04|UpdatingDetection
0x00DDFC38|UpdatingMovement
0x00DE0246|fIdleChatterCommentTimerMax
0x00DE0361|Procedure_Action
0x00DE0460|Procedure_Action
0x00DE0528|Procedure_Action
0x00DE07B8|fDlgLookDegStart
0x00DE0E80|ReferenceProcessLists
0x00DF1958|fAIInteriorSpectatorDetection
0x00DF21CC|sVATSMessageZeroChance
0x00DF2250|sStatsHP
0x00DF33C8|iDebugTextTopBottomOffset
0x00DF33CC|iDebugTextLeftRightOffset
0x00DF356C|bDebugCombatTextColorDark
0x00DF426C|Procedure_Action
0x00DF4270|fCombatDetectionLostTime
0x00DF4274|fCombatThreatSignificantScore
0x00DF4300|bipedBoneName
0x00DF49E0|EmptyFS
0x00DF6238|iRenderingThread2HWThread
0x00DF6394|appTimer
0x00E02800|iDebugTextFont
0x00E03188|iAutoViewHiFrameRate
0x00E0318C|iAutoViewMinDistance
0x00E67C30|ReferenceProcessLists
0x00E67C48|ReferenceProcessLists
0x00E67E30|hkVector4Zero
0x00E681C0|ReferenceProcessLists
0x00E6835C|hkQuadReal1111
0x00E68360|hkQuadReal1111
0x00E68370|hkTransformIdentity
0x00E68380|hkQuadRealHalf
