# global labels: 0x<pc_data_rva>|<qualified name>|votes|<mangled>
0x00BDF044|hkQuadRealHalf|13|?hkQuadRealHalf@@3U__vector4@@B
0x00BDF084|bFileShowTextures|1|?bFileShowTextures@@3V?$SettingT@VINISettingCollection@@@@A
0x00BDF088|bFileShowIcons|1|?bFileShowIcons@@3V?$SettingT@VINISettingCollection@@@@A
0x00BDF100|iAudioCacheSize|1|?iAudioCacheSize@@3V?$SettingT@VINISettingCollection@@@@A
0x00BDF1C0|fSurgeryPlayerDefaultVPos|1|?fSurgeryPlayerDefaultVPos@@3V?$SettingT@VINISettingCollection@@@@A
0x00BDF1C4|fSurgeryPlayerDefaultScale|1|?fSurgeryPlayerDefaultScale@@3V?$SettingT@VINISettingCollection@@@@A
0x00BDF3A0|iIntroSequencePriority|1|?iIntroSequencePriority@@3V?$SettingT@VINISettingCollection@@@@A
0x00BF0000|XGRAPHICS::vector_ops_num_src|1|?vector_ops_num_src@XGRAPHICS@@3PAHA
0x00BF6800|bAllowConsole|1|?bAllowConsole@@3V?$SettingT@VINISettingCollection@@@@A
0x00BF6850|sOpenWithKey|1|?sOpenWithKey@@3V?$SettingT@VGameSettingCollection@@@@A
0x00BFFFEC|expressionErrors|1|?expressionErrors@@3PAPADA
0x00BFFFFC|sLocalSavePath|1|?sLocalSavePath@@3V?$SettingT@VINISettingCollection@@@@A
0x00C00000|fDangerousProjectileExplosionDamage|1|?fDangerousProjectileExplosionDamage@@3V?$SettingT@VGameSettingCollection@@@@A
0x00C00068|iAIThread2HWThread|1|?iAIThread2HWThread@@3V?$SettingT@VINISettingCollection@@@@A
0x00C00DD0|fCombatDetectionLostTime|1|?fCombatDetectionLostTime@@3V?$SettingT@VGameSettingCollection@@@@A
0x00C06800|psUserActions|1|?psUserActions@@3PAPAV?$SettingT@VGameSettingCollection@@@@A
0x00C10000|fDangerousProjectileExplosionRadius|1|?fDangerousProjectileExplosionRadius@@3V?$SettingT@VGameSettingCollection@@@@A
0x00C11584|bVATSProjectileDebug|2|?bVATSProjectileDebug@@3V?$SettingT@VINISettingCollection@@@@A
0x00C11588|fCombatSpeakHitThreshold|1|?fCombatSpeakHitThreshold@@3V?$SettingT@VGameSettingCollection@@@@A
0x00C11590|sEmpty|1|?sEmpty@@3V?$SettingT@VGameSettingCollection@@@@A
0x00C11598|fRumbleBlockTime|1|?fRumbleBlockTime@@3V?$SettingT@VGameSettingCollection@@@@A
0x00C11D78|hkVector4Zero|2|?hkVector4Zero@@3VhkVector4@@A
0x00C12054|sConfirmLoad|1|?sConfirmLoad@@3V?$SettingT@VGameSettingCollection@@@@A
0x00C12060|sInventoryValue|2|?sInventoryValue@@3V?$SettingT@VGameSettingCollection@@@@A
0x00C12070|sInventoryWeightUpper|3|?sInventoryWeightUpper@@3V?$SettingT@VGameSettingCollection@@@@A
0x00C120E8|fKnockbackTime|1|?fKnockbackTime@@3V?$SettingT@VGameSettingCollection@@@@A
0x00C120F0|fRumbleHitTime|1|?fRumbleHitTime@@3V?$SettingT@VGameSettingCollection@@@@A
0x00C12320|sSelectItemToRepair|1|?sSelectItemToRepair@@3V?$SettingT@VGameSettingCollection@@@@A
0x00C15A38|iHUDMaxCompassNPCTicks|1|?iHUDMaxCompassNPCTicks@@3V?$SettingT@VGameSettingCollection@@@@A
0x00C16248|iQuestReminderPipboyDisabledTime|1|?iQuestReminderPipboyDisabledTime@@3V?$SettingT@VGameSettingCollection@@@@A
0x00C162C0|sRemoveItemfromInventory|5|?sRemoveItemfromInventory@@3V?$SettingT@VGameSettingCollection@@@@A
0x00C16410|fVATSSpreadMult|1|?fVATSSpreadMult@@3V?$SettingT@VGameSettingCollection@@@@A
0x00C16800|sOutOfLockpicks|1|?sOutOfLockpicks@@3V?$SettingT@VGameSettingCollection@@@@A
0x00C16968|fPlayerHealthHeartbeatSlow|1|?fPlayerHealthHeartbeatSlow@@3V?$SettingT@VGameSettingCollection@@@@A
0x00C16970|iMolotovTest|1|?iMolotovTest@@3V?$SettingT@VGameSettingCollection@@@@A
0x00C17A40|fVATSThrownWeaponRangeMult|1|?fVATSThrownWeaponRangeMult@@3V?$SettingT@VGameSettingCollection@@@@A
0x00C17B68|pManeuverNames|1|?pManeuverNames@@3PAPBDA
0x00C17B70|fQuestCinematicCharacterFadeInDelay|1|?fQuestCinematicCharacterFadeInDelay@@3V?$SettingT@VGameSettingCollection@@@@A
0x00C18C00|fPickBreakSecs|1|?fPickBreakSecs@@3V?$SettingT@VGameSettingCollection@@@@A
0x00C19F08|pGSMonth|2|?pGSMonth@@3PAPAV?$SettingT@VGameSettingCollection@@@@A
0x00C1A6B0|Procedure_Action|1|?Procedure_Action@@3PAPAW4PROCEDURE@@A
