# JIP-LN-NVSE Address Mappings
# Format: 0xVA|name|source
0x00800000|kFlag1_ShadowFrustum|JIP-LN/internal\netimmerse.h
0x00800000|kFlag2_StingerProp|JIP-LN/internal\netimmerse.h
0x00800000|kFlags_Destroyed|JIP-LN/nvse\GameObjects.h
0x00800000|kNiFlag_MaterialsApplied|JIP-LN/internal\netimmerse.h
0x01000000|kEffFlag_Painless|JIP-LN/nvse\GameForms.h
0x01000000|kFlag1_MultipleTextures|JIP-LN/internal\netimmerse.h
0x01000000|kFormFlag_Destructible|JIP-LN/nvse\GameForms.h
0x01000000|kNiFlag_HighDetail|JIP-LN/internal\netimmerse.h
0x0101144C|VTABLE_BGSDehydrationStage|JIP-LN/internal\class_vtbls.h
0x010115B4|VTABLE_BGSHungerStage|JIP-LN/internal\class_vtbls.h
0x010116FC|VTABLE_BGSSleepDeprevationStage|JIP-LN/internal\class_vtbls.h
0x01011964|VTABLE_AlchemyItem|JIP-LN/internal\class_vtbls.h
0x01011B4C|VTABLE_MagicItemObject|JIP-LN/internal\class_vtbls.h
0x01011CD4|VTABLE_TESIcon|JIP-LN/internal\class_vtbls.h
0x01011D0C|VTABLE_MagicItem|JIP-LN/internal\class_vtbls.h
0x01011D54|VTABLE_TESFullName|JIP-LN/internal\class_vtbls.h
0x01011D68|VTABLE_BaseFormComponent|JIP-LN/internal\class_vtbls.h
0x01012120|VTABLE_Setting|JIP-LN/internal\class_vtbls.h
0x0101212C|VTABLE_GameSettingCollection|JIP-LN/internal\class_vtbls.h
0x01012508|VTABLE_EffectItemList|JIP-LN/internal\class_vtbls.h
0x01012834|VTABLE_EffectSetting|JIP-LN/internal\class_vtbls.h
0x01012EA4|VTABLE_EnchantmentItem|JIP-LN/internal\class_vtbls.h
0x01013044|VTABLE_MagicItemForm|JIP-LN/internal\class_vtbls.h
0x01013284|VTABLE_IngredientItem|JIP-LN/internal\class_vtbls.h
0x01013F8C|VTABLE_SpellItem|JIP-LN/internal\class_vtbls.h
0x01014204|VTABLE_ExtraCell3D|JIP-LN/internal\class_vtbls.h
0x01014210|VTABLE_BSExtraData|JIP-LN/internal\class_vtbls.h
0x0101421C|VTABLE_ExtraHavok|JIP-LN/internal\class_vtbls.h
0x01014228|VTABLE_ExtraRegionList|JIP-LN/internal\class_vtbls.h
0x01014234|VTABLE_ExtraCellMusicType|JIP-LN/internal\class_vtbls.h
0x01014240|VTABLE_ExtraCellAcousticSpace|JIP-LN/internal\class_vtbls.h
0x0101424C|VTABLE_ExtraCellClimate|JIP-LN/internal\class_vtbls.h
0x01014258|VTABLE_ExtraCellImageSpace|JIP-LN/internal\class_vtbls.h
0x01014264|VTABLE_ExtraCellImpactSwap|JIP-LN/internal\class_vtbls.h
0x01014270|VTABLE_ExtraCellWaterType|JIP-LN/internal\class_vtbls.h
0x0101427C|VTABLE_ExtraProcessMiddleLow|JIP-LN/internal\class_vtbls.h
0x01014288|VTABLE_ExtraCellCanopyShadowMask|JIP-LN/internal\class_vtbls.h
0x01014294|VTABLE_ExtraSeenData|JIP-LN/internal\class_vtbls.h
0x010142A0|VTABLE_ExtraNorthRotation|JIP-LN/internal\class_vtbls.h
0x010142AC|VTABLE_ExtraDetachTime|JIP-LN/internal\class_vtbls.h
0x01014300|VTABLE_BaseExtraList|JIP-LN/internal\class_vtbls.h
0x010143E8|VTABLE_ExtraDataList|JIP-LN/internal\class_vtbls.h
0x01014428|VTABLE_ExtraReflectedRefs|JIP-LN/internal\class_vtbls.h
0x01014434|VTABLE_ExtraReflectorRefs|JIP-LN/internal\class_vtbls.h
0x01014440|VTABLE_ExtraWaterLightRefs|JIP-LN/internal\class_vtbls.h
0x0101444C|VTABLE_ExtraLitWaterRefs|JIP-LN/internal\class_vtbls.h
0x01014458|VTABLE_ExtraSpecialRenderFlags|JIP-LN/internal\class_vtbls.h
0x01014618|VTABLE_ExtraNavMeshPortal|JIP-LN/internal\class_vtbls.h
0x01015138|VTABLE_ExtraRadioData|JIP-LN/internal\class_vtbls.h
0x01015178|VTABLE_ExtraHealthPerc|JIP-LN/internal\class_vtbls.h
0x01015184|VTABLE_ExtraObjectHealth|JIP-LN/internal\class_vtbls.h
0x01015190|VTABLE_ExtraTerminalState|JIP-LN/internal\class_vtbls.h
0x0101519C|VTABLE_ExtraEditorID|JIP-LN/internal\class_vtbls.h
0x010151A8|VTABLE_ExtraOpenCloseActivateRef|JIP-LN/internal\class_vtbls.h
0x010151B4|VTABLE_ExtraPrimitive|JIP-LN/internal\class_vtbls.h
0x010151C0|VTABLE_ExtraPatrolRefData|JIP-LN/internal\class_vtbls.h
0x010151CC|VTABLE_ExtraOcclusionPlaneRefData|JIP-LN/internal\class_vtbls.h
0x010151D8|VTABLE_ExtraPortalRefData|JIP-LN/internal\class_vtbls.h
0x010151E4|VTABLE_ExtraRoomRefData|JIP-LN/internal\class_vtbls.h
0x010151F0|VTABLE_ExtraCollisionData|JIP-LN/internal\class_vtbls.h
0x010151FC|VTABLE_ExtraPackageData|JIP-LN/internal\class_vtbls.h
0x01015208|VTABLE_ExtraRadius|JIP-LN/internal\class_vtbls.h
0x01015214|VTABLE_ExtraRadiation|JIP-LN/internal\class_vtbls.h
0x0101589C|VTABLE_ExtraLock|JIP-LN/internal\class_vtbls.h
0x010158A8|VTABLE_ExtraTeleport|JIP-LN/internal\class_vtbls.h
0x010158B4|VTABLE_ExtraOwnership|JIP-LN/internal\class_vtbls.h
0x010158C0|VTABLE_ExtraGlobal|JIP-LN/internal\class_vtbls.h
0x010158CC|VTABLE_ExtraRank|JIP-LN/internal\class_vtbls.h
0x010158D8|VTABLE_ExtraCount|JIP-LN/internal\class_vtbls.h
0x010158E4|VTABLE_ExtraHealth|JIP-LN/internal\class_vtbls.h
0x010158F0|VTABLE_ExtraUses|JIP-LN/internal\class_vtbls.h
0x010158FC|VTABLE_ExtraTimeLeft|JIP-LN/internal\class_vtbls.h
0x01015908|VTABLE_ExtraCharge|JIP-LN/internal\class_vtbls.h
0x01015914|VTABLE_ExtraScript|JIP-LN/internal\class_vtbls.h
0x01015920|VTABLE_ExtraScale|JIP-LN/internal\class_vtbls.h
0x0101592C|VTABLE_ExtraHotkey|JIP-LN/internal\class_vtbls.h
0x01015938|VTABLE_ExtraReferencePointer|JIP-LN/internal\class_vtbls.h
0x01015944|VTABLE_ExtraTresPassPackage|JIP-LN/internal\class_vtbls.h
0x01015950|VTABLE_ExtraLeveledItem|JIP-LN/internal\class_vtbls.h
0x0101595C|VTABLE_ExtraPoison|JIP-LN/internal\class_vtbls.h
0x01015968|VTABLE_ExtraHeadingTarget|JIP-LN/internal\class_vtbls.h
0x01015974|VTABLE_ExtraHasNoRumors|JIP-LN/internal\class_vtbls.h
0x01015980|VTABLE_ExtraModelSwap|JIP-LN/internal\class_vtbls.h
