VTABLE|0x01085688|AILinearTaskThread|5 vfuncs
  VFUNC|0x008C7830|AILinearTaskThread::vf000
  VFUNC|0x008C7720|AILinearTaskThread::vf001
  VFUNC|0x008C6FF0|AILinearTaskThread::vf002
  VFUNC|0x008C7110|AILinearTaskThread::vf003
  VFUNC|0x008C7190|AILinearTaskThread::vf004
VTABLE|0x01085818|AITaskThread|2 vfuncs
  VFUNC|0x008C9EC0|AITaskThread::vf000
  VFUNC|0x008C9C70|AITaskThread::vf001
VTABLE|0x010792AC|AbsorbEffect|26 vfuncs
  VFUNC|0x00802DF0|AbsorbEffect::vf000
  VFUNC|0x00802F40|AbsorbEffect::vf001
  VFUNC|0x0082BD20|AbsorbEffect::vf002
  VFUNC|0x00803120|AbsorbEffect::vf003
  VFUNC|0x00802D90|AbsorbEffect::vf004
  VFUNC|0x00806230|AbsorbEffect::vf005
  VFUNC|0x00802DB0|AbsorbEffect::vf006
  VFUNC|0x00806420|AbsorbEffect::vf007
  VFUNC|0x00802DD0|AbsorbEffect::vf008
  VFUNC|0x008066D0|AbsorbEffect::vf009
  VFUNC|0x00805670|AbsorbEffect::vf010
  VFUNC|0x00803D00|AbsorbEffect::vf011
  VFUNC|0x004534F0|AbsorbEffect::vf012
  VFUNC|0x004534F0|AbsorbEffect::vf013
  VFUNC|0x0080BA50|AbsorbEffect::vf014
  VFUNC|0x0082CCB0|AbsorbEffect::vf015
  VFUNC|0x008067B0|AbsorbEffect::vf016
  VFUNC|0x0082A650|AbsorbEffect::vf017
  VFUNC|0x00401290|AbsorbEffect::vf018
  VFUNC|0x0082BCB0|AbsorbEffect::vf019
  VFUNC|0x00803070|AbsorbEffect::vf020
  VFUNC|0x0082C490|AbsorbEffect::vf021
  VFUNC|0x008033B0|AbsorbEffect::vf022
  VFUNC|0x00673400|AbsorbEffect::vf023
  VFUNC|0x006733E0|AbsorbEffect::vf024
  VFUNC|0x0082CA50|AbsorbEffect::vf025
VTABLE|0x010A2BBC|AbstractHeap|18 vfuncs
  VFUNC|0x00AAA5B0|AbstractHeap::vf000
  VFUNC|0x00AA7E50|AbstractHeap::vf001
  VFUNC|0x00EC60FA|AbstractHeap::vf002
  VFUNC|0x00EC60FA|AbstractHeap::vf003
  VFUNC|0x00AA7E70|AbstractHeap::vf004
  VFUNC|0x00AA9FB0|AbstractHeap::vf005
  VFUNC|0x00AAA0E0|AbstractHeap::vf006
  VFUNC|0x00AAA310|AbstractHeap::vf007
  VFUNC|0x00AAA430|AbstractHeap::vf008
  VFUNC|0x00EC60FA|AbstractHeap::vf009
  VFUNC|0x00EC60FA|AbstractHeap::vf010
  VFUNC|0x00AA9D10|AbstractHeap::vf011
  VFUNC|0x00EC60FA|AbstractHeap::vf012
  VFUNC|0x00EC60FA|AbstractHeap::vf013
  VFUNC|0x00AAA650|AbstractHeap::vf014
  VFUNC|0x00AAA650|AbstractHeap::vf015
  VFUNC|0x00AA4A50|AbstractHeap::vf016
  VFUNC|0x00B02710|AbstractHeap::vf017
VTABLE|0x0107935C|ActiveEffect|23 vfuncs
  VFUNC|0x00803EA0|ActiveEffect::vf000
  VFUNC|0x00803FE0|ActiveEffect::vf001
  VFUNC|0x00804160|ActiveEffect::vf002
  VFUNC|0x004534F0|ActiveEffect::vf003
  VFUNC|0x00804F80|ActiveEffect::vf004
  VFUNC|0x00806230|ActiveEffect::vf005
  VFUNC|0x008050D0|ActiveEffect::vf006
  VFUNC|0x00806420|ActiveEffect::vf007
  VFUNC|0x00805330|ActiveEffect::vf008
  VFUNC|0x008066D0|ActiveEffect::vf009
  VFUNC|0x00805670|ActiveEffect::vf010
  VFUNC|0x00805760|ActiveEffect::vf011
  VFUNC|0x004534F0|ActiveEffect::vf012
  VFUNC|0x004534F0|ActiveEffect::vf013
  VFUNC|0x00806200|ActiveEffect::vf014
  VFUNC|0x0047C850|ActiveEffect::vf015
