# string_anchor: PC RVA | qualified name | source string text
0x0000FAE0|BaseExtraList::RemoveAll|BaseExtraList::RemoveAll()
0x0000FCA0|BaseExtraList::RemoveAllDefault|BaseExtraList::RemoveAllDefault()
0x0000FE20|BaseExtraList::ItemsInList|BaseExtraList::ItemsInList()
0x0000FF60|BaseExtraList::AddExtra|BaseExtraList::AddExtra()
0x00010140|BaseExtraList::GetExtraData|BaseExtraList::GetExtraData()
0x000102D0|BaseExtraList::GetPrevExtraData|BaseExtraList::GetPrevExtraData()
0x00011EC0|ExtraDataList::CopyList|ExtraDataList::CopyList()
0x00011EC0|ExtraDataList::RemoveAllCopyableExtra|ExtraDataList::RemoveAllCopyableExtra()
0x000120B0|ExtraDataList::RemoveNonPersistentCellData|ExtraDataList::RemoveNonPersistentCellData()
0x000121E0|ExtraDataList::CopyListForContainer|ExtraDataList::CopyListForContainer()
0x00012380|ExtraDataList::DuplicateExtraListForContainer|ExtraDataList::DuplicateExtraListForContainer()
0x00012490|ExtraDataList::CopyListForReference|ExtraDataList::CopyListForReference()
0x000126C0|ExtraDataList::CompareListForContainer|ExtraDataList::CompareListForContainer()
0x000127E0|ExtraDataList::CompareList|ExtraDataList::CompareList()
0x00027E90|ExtraDataList::SaveGame|SAVELOAD: Unknown extra data type %i found in ExtraDataList::SaveGame
0x00069800|TESDataHandler::GetNextID|TESDataHandler::GetNextID
0x00090500|TESAnimGroup::GetSequenceType|ANIMATION: Animation sequence '%s' not found in TESAnimGroup::GetSequenceType for file '%s'.
0x00122C80|TESObjectWEAP::GetCombatWeaponType|COMBAT: Unknown weapon type %i encountered in function TESObjectWEAP::GetCombatWeaponType().
0x0012B0F0|TESClimate::MakeDefault|DEFAULT: Unable to add default weather to default climate.  ( TESClimate::MakeDefault() )
0x00141AC0|TESObjectCELL::CellRefLockEnter|TESObjectCELL::CellRefLockEnter()
0x001ADD00|Script::ParseParameters|DEFAULT: Param type '%d' (referenced object) unimplemented in Script::ParseParameters.
