# string-xref names: 0x<rva>|<qualified name>|tier|votes|<mangled>
0x00001270|AlchemyItem::InitItem|T2|1|?InitItem@AlchemyItem@@UAAXXZ
0x000017A0|AlchemyItem::IsWater|T2|1|?IsWater@AlchemyItem@@QAA_NXZ
0x00003940|EffectItemList::Load|T2|2|?Load@EffectItemList@@QAAXPAVTESFile@@PBD@Z
0x00004C80|EffectItemList::BuildMenuString|T2|2|?BuildMenuString@EffectItemList@@QAAXPADI@Z
0x00004EE0|EffectItemList::GetEffectItemIndex|T2|1|?GetEffectItemIndex@EffectItemList@@QAAEPAVEffectItem@@@Z
0x00004F50|EffectItemList::GetEffectItemByIndex|T2|1|?GetEffectItemByIndex@EffectItemList@@QAAPAVEffectItem@@E@Z
0x00005E40|EffectSetting::Load|T2|1|?Load@EffectSetting@@UAA_NPAVTESFile@@@Z
0x00006140|EffectSetting::InitItem|T2|2|?InitItem@EffectSetting@@UAAXXZ
0x00006CC0|EffectSetting::QueueEffect|T2|1|?QueueEffect@EffectSetting@@QAAHXZ
0x00007000|EffectSettingCollection::CreateDefaultEffects|T2|6|?CreateDefaultEffects@EffectSettingCollection@@SAXXZ
0x00009DA0|MagicItem::FinishedLoading|T2|1|?FinishedLoading@MagicItem@@QAAXXZ
0x0000BDDE|MagicSystem::GenerateDefaultObjects|T3|3|?GenerateDefaultObjects@MagicSystem@@SAXXZ
0x0000C870|ContainerItemExtra::InitItem|T2|1|?InitItem@ContainerItemExtra@@QAAXPAVTESForm@@@Z
0x0000DEE0|BaseExtraList::RemoveAllDefault|T2|1|?RemoveAllDefault@BaseExtraList@@QAAX_N@Z
0x0000DF70|BaseExtraList::AddExtra|T2|1|?AddExtra@BaseExtraList@@QAAPAVBSExtraData@@PAV2@@Z
0x0000E0B0|BaseExtraList::RemoveExtra|T2|1|?RemoveExtra@BaseExtraList@@QAAXE@Z
0x0000E160|BaseExtraList::RemoveExtra|T2|1|?RemoveExtra@BaseExtraList@@QAAXPAVBSExtraData@@_N@Z
0x0000E280|BaseExtraList::GetExtraData|T2|1|?GetExtraData@BaseExtraList@@QAAPAVBSExtraData@@E@Z
0x0000E3C0|BaseExtraList::GetPrevExtraData|T2|1|?GetPrevExtraData@BaseExtraList@@QAAPAVBSExtraData@@E@Z
0x0000F900|ExtraDataList::AddExtraCopy|T2|1|?AddExtraCopy@ExtraDataList@@QAAXPAVBSExtraData@@@Z
0x0000FEE0|ExtraDataList::CopyList|T2|1|?CopyList@ExtraDataList@@QAAXPAV1@@Z
0x00010020|ExtraDataList::RemoveAllCopyableExtra|T2|1|?RemoveAllCopyableExtra@ExtraDataList@@QAAX_N@Z
0x00010105|ExtraDataList::RemoveNonPersistentCellData|T2|1|?RemoveNonPersistentCellData@ExtraDataList@@QAAXXZ
0x00010220|ExtraDataList::CopyListForContainer|T2|1|?CopyListForContainer@ExtraDataList@@QAAXPAV1@_N@Z
0x0001039D|ExtraDataList::DuplicateExtraListForContainer|T2|1|?DuplicateExtraListForContainer@ExtraDataList@@QAAXPAV1@@Z
0x000104ED|ExtraDataList::CopyListForReference|T2|1|?CopyListForReference@ExtraDataList@@QAAXPAV1@_N@Z
0x000106E2|ExtraDataList::CompareListForContainer|T2|1|?CompareListForContainer@ExtraDataList@@QAA_NPAV1@_N1@Z
0x0001083A|ExtraDataList::CompareList|T2|1|?CompareList@ExtraDataList@@QAA_NPAV1@@Z
0x00013468|ExtraDataList::Load|T2|1|?Load@ExtraDataList@@QAAXPAVTESFile@@PAVTESForm@@@Z
0x00015CDF|ExtraDataList::InitItem|T2|18|?InitItem@ExtraDataList@@QAAXPAVTESForm@@@Z
0x00019350|ExtraDataList::SetStartingWorldOrCellForRef|T2|1|?SetStartingWorldOrCellForRef@ExtraDataList@@QAAXPAVTESObjectREFR@@@Z
0x00020A60|ExtraDataList::SetSavedAnimation|T2|1|?SetSavedAnimation@ExtraDataList@@QAAXPAD@Z
0x00020B54|ExtraDataList::SetSavedHavokData|T2|1|?SetSavedHavokData@ExtraDataList@@QAAXPAD@Z
0x000214F0|EffectSettingCollection::GetKnownEffectsSaveSize|T2|1|?GetKnownEffectsSaveSize@EffectSettingCollection@@SAHXZ
0x00022820|MiddleHighProcess::SaveGame|T1|3|?SaveGame@MiddleHighProcess@@UAAXIPAVMobileObject@@@Z
0x00023E5A|ExtraDataList::LoadGame|T2|4|?LoadGame@ExtraDataList@@QAAXIIPAVTESObjectREFR@@@Z
0x00025FD0|ExtraDataList::SaveGame|T2|1|?SaveGame@ExtraDataList@@QAAXPAVBGSSaveFormBuffer@@@Z
0x00027A45|ExtraDataList::LoadGame|T2|2|?LoadGame@ExtraDataList@@QAAXPAVBGSLoadFormBuffer@@@Z
0x00031E50|ExtraDecalRefs::InitItem|T2|1|?InitItem@ExtraDecalRefs@@QAAXPAVTESForm@@@Z
0x00032000|ExtraReflectorRefs::InitItem|T2|1|?InitItem@ExtraReflectorRefs@@QAAXPAVTESForm@@@Z
0x00032140|ExtraLitWaterRefs::InitItem|T1|2|?InitItem@ExtraLitWaterRefs@@QAAXPAVTESForm@@@Z
0x00036090|ExtraSecuritronFace::ApplyFace|T2|1|?ApplyFace@ExtraSecuritronFace@@QAAXPAVNiAVObject@@@Z
0x000388A0|DoorTeleportData::InitItem|T2|1|?InitItem@DoorTeleportData@@QAA_NPAVTESForm@@@Z
