class,offset,type,name,slot_state
AILinearTaskThread,0x4C,undefined4,1,known
AITaskThread,0x4C,undefined4,1,known
ActorPathHandler,0x4,undefined *,apActor,known
ActorPathHandler,0x8,undefined *,apActorMover,known
ActorValueInfo,0x38,undefined *,apScriptName,known
ArchiveFile,0x10,uint,4,known
ArchiveFile,0x154,uint,4,known
ArchiveFile,0x15C,undefined4,3,known
AudioLoadTask,0x30,undefined *,apSound,known
BGSDecalNode,0xB0,bool,abSkinnedNode,known
BGSDistantObjectBlockLoadTask,0x34,int,aiX,known
BGSDistantObjectBlockLoadTask,0x38,int,aiY,known
BGSDistantObjectBlockLoadTask,0x3C,int,aiLevel,known
BGSDistantObjectBlockLoadTask,0x40,undefined *,apBlock,known
BGSDistantObjectBlockLoadTask,0x44,undefined *,apWorld,known
BGSDistantTreeBlockLoadTask,0x30,undefined *,apBlock,known
BGSDistantTreeBlockLoadTask,0x38,int,aiX,known
BGSDistantTreeBlockLoadTask,0x3C,int,aiY,known
BGSDistantTreeBlockLoadTask,0x40,int,aiLevel,known
BGSReconstructCellBlocksMap,0x14,undefined1,1,known
BGSTerrainChunkLoadTask,0x34,int,aiX,known
BGSTerrainChunkLoadTask,0x38,int,aiY,known
BGSTerrainChunkLoadTask,0x3C,int,aiLevel,known
BGSTerrainChunkLoadTask,0x40,undefined *,apChunk,known
BGSTerrainChunkLoadTask,0x44,undefined *,apWorld,known
BSExtraData,0x4,undefined1,1,known
BSFaceGenKeyframe,0x4,undefined4,1,known
BSFaceGenMorphDifferential,0x8,undefined4,1,known
BSFaceGenMorphStatistical,0x8,undefined4,1,known
BSFaceGenMorphStatistical,0xC,undefined4,2,known
BSFile,0x10,uint,aiBufferSize,known
BSFile,0x28,NiFile_OpenMode,aeMode,known
BSPSysArrayEmitter,0x58,undefined4,3,known
BSPSysMultiTargetEmitterCtlr,0x5C,undefined4,2,known
BSPSysMultiTargetEmitterCtlr,0x60,undefined2,3,known
BSPSysSimpleColorModifier,0x48,undefined4,5,known
BSPSysSimpleColorModifier,0x4C,undefined4,6,known
BSPSysSimpleColorModifier,0x50,undefined4,7,known
BSPSysSimpleColorModifier,0x54,undefined4,8,known
BSPSysSimpleColorModifier,0x58,undefined4,9,known
BSPSysSimpleColorModifier,0x5C,undefined4,10,known
BSPSysStripUpdateModifier,0x18,undefined4,2,known
