class,offset,type,name,slot_state
BSTempEffectDebris,0x40,undefined1,12,unknown
ExtraInfoGeneralTopic,0x10,undefined8,2,unknown
ExtraPackage,0x10,undefined8,2,unknown
ExtraShouldWear,0x10,undefined1,2,unknown
MapCamera,0x58,undefined8,2,unknown
MovementControllerAI,0x110,undefined4,2,unknown
StatsNode,0x40,undefined4,3,unknown
StatsNode,0x48,undefined4,4,unknown
StatsNode,0x50,longlong,5,unknown
StatsNode,0x58,longlong,6,unknown
bhkCharacterPointCollector,0x220,undefined8,2,unknown
AbstractHeap,0x30,undefined8,4,known
AbstractHeap,0x40,undefined4,5,known
AbstractHeap,0x48,undefined8,2,known
AbstractHeap,0x50,undefined8,3,known
AbstractHeap,0x58,undefined8,3,known
AbstractHeap,0xA4,undefined1,7,known
AbstractHeap,0xA5,undefined1,6,known
ActiveEffect,0x40,undefined8,3,known
ActiveEffect,0x48,EffectItem *,4,known
ActorMagicCaster,0xB8,undefined8,2,known
ActorMagicCaster,0xF4,undefined4,3,known
ActorValueInfo,0x50,byte *,3,known
ActorValueMeter,0x48,undefined4,3,known
AddCellGrassTask,0x38,TESObjectCELL *,2,known
BGSBaseAlias,0x10,undefined8,2,known
BGSBaseAlias,0x18,undefined4,3,known
BGSDecalNode,0x140,char,3,known
BGSEntryPointFunctionDataActivateChoice,0x10,undefined8,2,known
BGSEntryPointFunctionDataActivateChoice,0x22,undefined2,3,known
BSDynamicTriShape,0x148,ulonglong,2,known
BSDynamicTriShape,0x158,ushort,4,known
BSDynamicTriShape,0x15A,ushort,3,known
BSDynamicTriShape,0x170,undefined4,5,known
BSFaceGenKeyframeMultiple,0x8,Type,2,known
BSGeometry,0x138,undefined8,2,known
BSGeometry,0x148,undefined8,3,known
BSMultiBoundAABB,0x48,undefined4,5,known
BSMultiBoundAABB,0x4C,int,6,known
BSMultiBoundAABB,0x50,undefined1,4,known
BSPortalSharedNode,0x140,NiTimeController *,2,known
BSSceneGraph,0x128,longlong *,4,known
BSSceneGraph,0x138,undefined1,3,known
BSShadowFrustumLight,0x568,float,4,known
BSShadowFrustumLight,0x56C,float,5,known
BSShadowFrustumLight,0x570,float,6,known
BSTempEffect,0x10,undefined4,3,known
BSTempEffectDebris,0x38,undefined8,4,known
BSTempEffectGeometryDecal,0x38,longlong *,5,known
BSTempEffectGeometryDecal,0xA4,undefined4,8,known
BSTempEffectGeometryDecal,0xAC,undefined4,10,known
BSTempEffectParticle,0x40,undefined8,4,known
BSTempEffectParticle,0x88,longlong,5,known
BSTempEffectSimpleDecal,0x170,undefined8,2,known
BSTempEffectWeaponBlood,0x30,longlong,3,known
BSTriShape,0x158,undefined2,5,known
BSTriShape,0x15A,undefined2,4,known
BSXFlags,0x18,undefined4,2,known
DialoguePackage,0xF1,undefined1,4,known
ExtraCount,0x10,undefined2,2,known
ExtraGhost,0x10,undefined1,2,known
ExtraPackage,0x1C,undefined2,3,known
ExtraRank,0x10,undefined4,2,known
ExtraSayToTopicInfo,0x38,undefined8,2,known
ExtraSoul,0x10,undefined1,2,known
Hazard,0xB8,Actor_vtbl_184 *,2,known
ImageSpaceModifierInstance,0x14,undefined4,3,known
ImageSpaceModifierInstance,0x20,undefined4,2,known
ImageSpaceModifierInstance,0x28,uint,5,known
ImageSpaceModifierInstanceDOF,0x64,undefined4,2,known
ImageSpaceModifierInstanceDOF,0x68,undefined4,5,known
ImageSpaceModifierInstanceDOF,0x6C,undefined4,6,known
LoadStorageWrapper,0x20,longlong,2,known
Main,0x18,undefined8,2,known
Main,0x20,undefined8,3,known
MessageBoxData,0x38,undefined4,6,known
