global_addr,current_symbol,inferred_type,is_pointer,confidence,votes,total,distinct_classes,class_votes,callers,decision_type
0x145932320,DAT_145932320,UI,0,high,68,68,1,UI:68,PlayerCharacter::vf207 anonymous_namespacerapos_::ProcessCommand Func304 FUN_140d83de0 WSPrimaryTouchpadInput::vf001 FreeCameraState::vf014,
0x145930B50,DAT_145930b50,TESDataHandler,0,high,50,50,1,TESDataHandler:50,~BGSStoryManagerBranchNode Workshop::InitializePlacementReference TESForm::TESForm TESObjectREFR::RemoveAddonNodes FUN_140d8a5a0 lambda_eec7ad35124284c478f03556ad053f99_::operator,
0x145932550,DAT_145932550,Calendar,0,high,37,37,1,Calendar:37,TESQuest::FindRefsForAlias FUN_140d83de0 FUN_140f0b960 AIProcess::ProcessActivate_High ProcessLists::UpdateLowProcessStaticGameTimeValues lambda_b6e3d9044e7c990fec09445e9887acf9_::operator,
0x145932558,DAT_145932558,UIMessageQueue,0,high,37,37,1,UIMessageQueue:37,FUN_140bee780 BookMenu::OpenBookMenu FUN_140bfd8f0 ExamineMenu::vf004 PauseMenu::DoSaveGame BookMenu::OnButtonEventRelease,
0x145A3B898,DAT_145a3b898,ControlMap,0,high,27,27,1,ControlMap:27,FUN_140bcd6a0 WorkshopMenu::vf004 FUN_140b28090 FUN_140bc9310 Console::vf003 WorkshopMenu::vf011,
0x145B279E0,DAT_145b279e0,TaskQueueInterface,0,high,24,24,1,TaskQueueInterface:24,GameScript::anonymous_namespacerapos_::mem_Weapon_Fire TESObjectREFR::Set3DSimple FUN_140d83de0 lambda_fcd8abc5d4fcaf03d6ce9a082a4c11df_::operator FUN_140d28280 lambda_cbf364f315c37967adcd2e28ce8d7be7_::operator,
0x145930968,DAT_145930968,ProcessLists,0,high,24,24,1,ProcessLists:24,FUN_140123490 TaskQueueInterface::TaskUnpackFunc FUN_140f0b960 TES::ReloadGridCells TES::dtor_TES Actor::MovetoMiddleHigh,
0x145936A60,DAT_145936a60,BGSInventoryInterface,0,high,19,19,1,BGSInventoryInterface:19,InventoryUserUIInterfaceEntry::GetIsFeaturedItem lambda_c2c85e48c587e3423afd91b2ce165a49_::operator InventoryUserUIInterfaceEntry::SetQuickkeyIndex FavoritesManager::QueueBufferedGeometry Actor::AddWornItem PipboyInventoryMenu::DropCurrentItem,
0x145A38BF8,g_ActorEquipManager,ActorEquipManager,0,high,16,16,1,ActorEquipManager:16,FUN_140f432c0 Script::EquipSpellFunction lambda_0c015b9e2f523639f2e2c4146b6bb570_::operator PipboyStatsMenu::UseRadaway Actor::AddWornItem AIProcess::ProcessUseItemAt_High,
0x145932310,DAT_145932310,BGSDynamicPersistenceManager,0,high,13,13,1,BGSDynamicPersistenceManager:13,TESQuest::ClearAliasFromRef FUN_140d83de0 TESQuest::StartUp FUN_1400f9360 MountInteraction::BeginMountState FUN_1400f9390,
0x145A38C38,DAT_145a38c38,BGSSynchronizedAnimationManager,0,high,8,8,1,BGSSynchronizedAnimationManager:8,AIProcess::ProcessWarning_High Actor::HandleDefaultAnimationsSwitch Actor::vf207 AIProcess::SetupSpecialIdle FUN_140e57eb0 ReadSyncAnimDataForSubgraph,
0x145932260,DAT_145932260,BSInputEnableManager,0,high,6,6,1,BSInputEnableManager:6,DialogueMenu FUN_140bfd8f0 BuildABot::SetEnable Script::DumpInputEnableLayers FUN_141329bb0 LooksMenu::LooksMenu,
0x145932570,DAT_145932570,MessageMenuManager,0,high,6,6,1,MessageMenuManager:6,GameUIModel::UpdateDataModels MessageBoxA FUN_140b77390 BGSSaveLoadManager::LoadGameHeader ContainerMenu::vf015 FUN_140f2c120,
0x145AC0A50,DAT_145ac0a50,FavoritesManager,0,high,5,5,1,FavoritesManager:5,lambda_c2c85e48c587e3423afd91b2ce165a49_::operator UISaveLoadStaticData::SaveGame FUN_140c0b390 PipboyInventoryData::InitializeItem,
0x145AD5CE8,DAT_145ad5ce8,BGSSaveLoadManager,0,high,5,5,1,BGSSaveLoadManager:5,BGSSaveLoadFileEntry::CalculateFileTime PlayerCharacter::WakeUp FUN_140f03bd0 FUN_140f2c120,
0x145930600,DAT_145930600,MenuTopicManager,0,high,5,5,1,MenuTopicManager:5,BGSSaveLoadGlobalData::FinishLoadGlobalDataRange BGSSceneActionPlayerDialogue::vf021,
0x145A3B8A0,g_playerControls,PlayerControls,0,high,4,4,1,PlayerControls:4,FUN_1412cc060 PlayerControlsUtils::ProcessLookControls FUN_140f2b1f0,
0x145932568,DAT_145932568,SubtitleManager,0,high,4,4,1,SubtitleManager:4,Actor::SpeakSoundFunction ArrowProjectile::vf097 TESObjectREFR::FadeCurrentDialogue FUN_140f2c120,
0x145940758,DAT_145940758,PipboyManager,0,high,4,4,1,PipboyManager:4,TaskQueueInterface::TaskUnpackFunc FUN_140b9f710,
0x145AD5A80,DAT_145ad5a80,BGSSaveLoadGame,0,high,4,4,1,BGSSaveLoadGame:4,FUN_1405d2410 BGSDynamicPersistenceManager::PromoteReferences TESObjectCELL::UnLoadAllTempData TES::GridArrayLoad,
0x146879598,DAT_146879598,BSLensFlareRenderData,0,high,3,3,1,BSLensFlareRenderData:3,Sky::SetMode BSImagespaceShaderLensFlare::SetSolarLensFlareDO TESDataHandler::ClearData,
0x145945B58,DAT_145945b58,VATS,0,high,3,3,1,VATS:3,TaskQueueInterface::TaskUnpackFunc PlayerCharacter::ApplyAutoAimActor Actor::Move,
0x145935428,DAT_145935428,GameVM,0,high,3,3,1,GameVM:3,FUN_140d83de0 Script::ReloadPapyrusScript BGSSaveLoadManager::EndSaveGame,
0x145C607F8,DAT_145c607f8,GlobalLocations,0,high,3,3,1,GlobalLocations:3,BSResource::RegisterLocation FUN_141bfcf70,
0x145AC93A8,DAT_145ac93a8,MenuCursor,0,high,3,3,1,MenuCursor:3,CursorMenu::dtor_CursorMenu FUN_140c32ad0 FUN_140b9fc10,
0x145AC9798,DAT_145ac9798,ObjectInterface,0,high,3,3,1,ObjectInterface:3,FUN_140b73f00 FUN_140b7a790,
0x145A3B790,VTABLE_BSTEventSink_MainStatus__StageEvent_,ScriptedMusicState,0,high,3,3,1,ScriptedMusicState:3,TESAudio::Revert FUN_1404de5d0 TESAudio::LoadGame,
0x145B04308,VTABLE_BGSActionData,Main,0,high,3,3,1,Main:3,lambda_aee5316a46cc780b2991e12b1051f9ce_::operator anonymous_namespacerapos_::ShouldUpdateFadeNode,
0x145A3B7A0,BGSImpactManagerSingleton,BGSImpactManager,0,high,2,2,1,BGSImpactManager:2,Script::PlayImpactEffectFunction FUN_140d83de0,
0x145B3DF00,DAT_145b3df00,CombatEventHandler,0,high,2,2,1,CombatEventHandler:2,GameVM::SaveGameImpl GameVM::DropAllRunningData,
0x145940718,DAT_145940718,Entry,0,high,2,2,1,Entry:2,MiscStatManager::KillSDM,
0x145A3CD28,DAT_145a3cd28,AnimationFileManagerSingleton,0,high,2,2,1,AnimationFileManagerSingleton:2,Actor::MovetoMiddleHigh Actor::vf021,
0x145C64D28,DAT_145c64d28,BSReadWriteLock,0,high,2,2,1,BSReadWriteLock:2,lambda_d4be7055fa439260259132f8bd5d18e8_::operator BSStaticTriShapeDB::Request,
0x145932578,DAT_145932578,PipboyMapData,0,high,2,2,1,PipboyMapData:2,FastTravelCommand::DoExecute PipboyMapData::ProcessEvent,
