global_addr,current_symbol,inferred_type,is_pointer,confidence,votes,total,distinct_classes,class_votes,callers,decision_type
0x1430ED2B8,ConsoleLog::GetSingleton,ConsoleLog,0,high,82,82,1,ConsoleLog:82,FUN_1403824b0 FUN_1405a4c50 FUN_14060df00 FUN_1405a7280 FUN_140607b90 Script::GetRelationshipRankConditionFunction,
0x1430DDA20,UIMessageQueue::GetSingleton,UIMessageQueue,0,high,35,35,1,UIMessageQueue:35,SleepWaitMenu::OnButtonEventRelease FUN_141070a60 TES::ShowLoadingMenu PauseMenu::ProcessMessage ContainerMenu::OnButtonEventRelease FUN_14106c540,
0x1431E5A88,ControlMap::GetSingleton,ControlMap,0,high,31,31,1,ControlMap:31,FUN_140ad0e90 FUN_140a7b350 FUN_140b00dd0 FUN_141042db0 FUN_140a91880 FUN_140a07030,
0x1430DBD58,PlayerCamera::GetSingleton,PlayerCamera,0,high,25,25,1,PlayerCamera:25,PlayerControls::ShouldProcessPlayerInput FUN_1405a7280 PlayerCharacter::FindTravelCommandLocation FUN_140d5a150 FUN_1407d6a10 FootIKUtils::FootIKUtilFunctor::operator,
0x1430DC000,TESDataHandler::GetSingleton,TESDataHandler,0,high,24,24,1,TESDataHandler:24,FUN_1404fd5c0 TESObjectREFR::RemoveMasterParticleAddonNodes PlayerCharacter::FindTravelCommandLocation TES::HandleQueuedLoadedAreaShift FUN_1402d3d80 FUN_140bf9460,
0x1430DDA28,Calendar::GetSingleton,Calendar,0,high,22,22,1,Calendar:22,FUN_14062bc30 TESPackage::QualifyAsCurrentPackage ProcessLists::UpdateLowProcessStaticGameTimeValues FUN_140da87f0 TESObjectCELL::AddReference FUN_1406bb680,
0x1430E1370,BGSInventoryInterface::GetSingleton,BGSInventoryInterface,0,high,18,18,1,BGSInventoryInterface:18,FUN_140a40d80 FUN_140d71ac0 FUN_140b13500 FUN_140ae2b50 ContainerMenu::GetDisplayBarterValues FUN_140b4a8d0,
0x1430DD7B0,BSInputEnableManager::GetSingleton,BSInputEnableManager,0,high,17,17,1,BSInputEnableManager:17,FUN_140b171c0 FUN_14099acd0 FUN_140a7f1a0 FUN_1410429b0 FUN_140b18ee0 WorkshopMenu::Func9_v2,
0x1431E3328,ActorEquipManager::GetSingleton,ActorEquipManager,0,high,17,17,1,ActorEquipManager:17,AIProcess::ProcessUseItemAt_High FUN_14074ec00 FUN_140751990 FUN_140aed950 FUN_140d38ce0 PowerArmor::SwitchToPowerArmor,
0x1432F46F8,TaskQueueInterface::GetSingleton,TaskQueueInterface,0,high,12,12,1,TaskQueueInterface:12,FUN_14037dc30 FUN_141183e40 FUN_140392210 PipboyManager::OnPipboyOpened AIProcess::SetSitSleepState PlayerCharacter::TryDialogueCamera,
0x1430DD820,BGSDynamicPersistenceManager::GetSingleton,BGSDynamicPersistenceManager,0,high,11,11,1,BGSDynamicPersistenceManager:11,FUN_140d50390 SummonCreatureEffect::Finish FUN_140c06ac0 Script::ForcePersistentFunction PowerArmor::SwitchToPowerArmor TESObjectREFR::SetLinkedRef,
0x1430DDA00,MessageMenuManager::GetSingleton,MessageMenuManager,0,high,7,7,1,MessageMenuManager:7,ContainerMenu::OnButtonEventRelease FUN_140bf9460 LooksMenu::Call BarterMenu::ConfirmInvestment BarterMenu::OnButtonEventRelease,
0x1431E5A80,PlayerControls::GetSingleton,PlayerControls,0,high,6,6,1,PlayerControls:6,PipboyMenu::Func2_v4 PipboyManager::OnPipboyOpened TaskQueueInterface::TaskUnpackFunc ThirdPersonState::HandleEvent,
0x14326F958,DAT_14326f958,ObjectInterface,0,high,5,5,1,ObjectInterface:5,ModManager::DisableAllMods FUN_140a96b10 FUN_140a8b2b0 FUN_140a8f520,
0x143268A38,FavoritesManager::GetSingleton,FavoritesManager,0,high,4,4,1,FavoritesManager:4,FUN_140b37960 PipboyInventoryMenu::SetQuickkey WorkshopMenu::Func9_v2,
0x1430EB0B0,DAT_1430eb0b0,Entry,0,high,4,4,1,Entry:4,MiscStatManager::KillSDM FUN_1423812a0,
0x1431E2318,DAT_1431e2318,BSReadWriteLock,0,high,4,4,1,BSReadWriteLock:4,FUN_140db2670 FUN_140f5c650 FUN_140751990 FUN_140d4ee50,
0x14326F458,MenuCursor::GetSingleton,MenuCursor,0,high,4,4,1,MenuCursor:4,PipboyManager::UpdateCursorConstraint FUN_140ad5df0 FUN_140ae4260,
0x1430DD830,UI::GetSingleton,UI,0,high,4,4,1,UI:4,FUN_140b13f40 FUN_140163170 FUN_140a7df90 FUN_14103c1b0,
0x1431E3338,BGSSynchronizedAnimationManager::GetSingleton,BGSSynchronizedAnimationManager,0,high,3,3,1,BGSSynchronizedAnimationManager:3,FUN_140cd2780 AIProcess::SetupSpecialIdle FUN_140580720,
0x143284A68,DAT_143284a68,BGSTerminal,0,high,3,3,1,BGSTerminal:3,FUN_140b12700 FUN_140b10770 FUN_140b0d080,
0x1430EEED0,VATS::GetSingleton,VATS,0,high,3,3,1,VATS:3,TESObjectREFR::InitItemImpl BGSDismembermentManager::ProcessDismemberedLimb FUN_140479680,
