global_addr,current_symbol,inferred_type,is_pointer,confidence,votes,total,distinct_classes,class_votes,callers,decision_type
0x142E75E78,DAT_142e75e78,ConsoleLog,0,high,102,102,1,ConsoleLog:102,FUN_140593a60 FUN_1405b06c0 FUN_1405b88a0 FUN_1405a6ec0 FUN_14059e260 FUN_140595590,
0x142F6E628,DAT_142f6e628,ControlMap,0,high,35,35,1,ControlMap:35,VATSMenu::Func1 FUN_140a27600 FUN_140a8f010 UI::ProcessMessages FUN_1409cc320 Func1,
0x142E649D8,DAT_142e649d8,PlayerCamera,0,high,25,25,1,PlayerCamera:25,FirstPersonState::Update FUN_140cf34f0 FUN_140bfd750 FUN_14045c460 TESObjectREFR::UpdateInDialogue PlayerCharacter::FindTravelCommandLocation,
0x142E64E68,DAT_142e64e68,TESDataHandler,0,high,25,25,1,TESDataHandler:25,MainMenu::StartNewGame Main_InitStartCell PlayerCharacter::FindTravelCommandLocation FUN_140fec2f0 FUN_140b78080 ExteriorCellLoader::LoadCellData,
0x142E66360,DAT_142e66360,BSInputEnableManager,0,high,25,25,1,BSInputEnableManager:25,FUN_140a14770 DialogueCameraState::Begin FUN_140947580 Workshop::StartWorkshop TogglePOVHandler::HandleEvent FUN_140fbce70,
0x142E665F8,DAT_142e665f8,Calendar,0,high,24,24,1,Calendar:24,FUN_140c961d0 FUN_140c69190 Actor::RemoveCrimeGoldValue FUN_140d23840 FUN_140c92bd0 Actor::SetSneaking,
0x142E69F30,DAT_142e69f30,BGSInventoryInterface,0,high,20,20,1,BGSInventoryInterface:20,FUN_140a7f3e0 FUN_1409f9eb0 FUN_1409fa830 FUN_140fc1ce0 FUN_1409f1570 FUN_1410727a0,
0x142E665D0,DAT_142e665d0,MessageMenuManager,0,high,17,17,1,MessageMenuManager:17,ContainerMenu::OnButtonEventRelease FUN_140b78080 FUN_140a32cb0 PlayerCharacter::CheckPoisonWeapon FUN_140a33030 BarterMenu::OnButtonEventRelease,
0x142F6E620,DAT_142f6e620,PlayerControls,0,high,13,13,1,PlayerControls:13,Func3 HolotapeMenu::MapCodeObjectFunctions ReadyWeaponHandler::OnButtonEvent PlayerControls::ProcessEvent PlayerCamera::ProcessEvent PipboyMenu::Func4,
0x14305CE98,TaskQueueInterface::GetSingleton,TaskQueueInterface,0,high,13,13,1,TaskQueueInterface:13,FUN_1404b7fe0 FUN_140329830 FUN_14033de00 FUN_140aa48e0 FUN_140cd94e0 FUN_1404b1740,
