global_addr,current_symbol,inferred_type,is_pointer,confidence,votes,total,distinct_classes,class_votes,callers,decision_type
0x1458CF080,DAT_1458cf080,TESDataHandler,0,high,42,42,1,TESDataHandler:42,TESObjectCELL::Detach ModManager::UninstallBlacklistedMods Workshop::IsLocationValid TES::ClearTransitionCells CreationClub::HandleAsyncRequests _lambda_9a1c741bfada78049310d1077689a9ab_::operator(),
0x1458D4980,DAT_1458d4980,BGSInventoryInterface,0,high,34,34,1,BGSInventoryInterface:34,ExamineMenu::BuildConfirmed _lambda_917479537c31b15b443b66a1869088ef_::operator() _lambda_3b6d3d398dc710432da1801cf3e1cafb_::operator() PipboyStatsData::ProcessEvent _lambda_87787bd6d25ba9a81b81318957021469_::operator() HUDQuickContainerDataModel::TakeSelectedItem,
0x1459DA210,DAT_1459da210,ControlMap,0,high,31,31,1,ControlMap:31,WorkshopMenu::HandleEvent StartMenuBase::~StartMenuBase PlayerCamera::LoadGame HUDRolloverModel::DoUpdateActivatePrompt LooksMenu::~LooksMenu DialogueMenu::~DialogueMenu,
0x1458D0AC0,VTABLE_BSTEventSink_MenuModeChangeEvent_,Calendar,0,high,29,29,1,Calendar:29,Main::OnIdle Actor::Update TESObjectCELL::Detach AIProcess::CheckforNewPackage_Priv ProcessLists::UpdateProcessLists FUN_140e4ddd0,
0x1458D0898,DAT_1458d0898,UI,0,high,27,27,1,UI:27,Main::OnIdle PlayerCharacter::HandlePositionPlayerRequest ActorEquipManager::EquipObject PlayerCharacter::CloseEnoughForPlayerToActivate TerminalMenu::OnButtonEventRelease BGSTerrainManager::Update,
0x145AC64F0,DAT_145ac64f0,TaskQueueInterface,0,high,25,25,1,TaskQueueInterface:25,Main::OnIdle sub_1402B8820 BGSDismembermentManager::ProcessDismemberedLimb BGSOpenCloseForm::HandleActivate PowerArmor::DoActorToFurnitureSwap BSTerrainEffect::BeginEffect,
0x1458CEE98,DAT_1458cee98,ProcessLists,0,high,24,24,1,ProcessLists:24,TESObjectCELL::Detach PlayerCharacter::HandlePositionPlayerRequest RE::PlayerCharacter::PickUpObject TES::LoadInterior Actor::SetDelete PlayerCharacter::WakeUp,
0x1458D0AC8,DAT_1458d0ac8,UIMessageQueue,0,high,16,16,1,UIMessageQueue:16,BookMenu::OnButtonEventRelease BGSSaveLoadManager::IsSavingAllowed LockpickingMenu::OpenLockpickingMenu TitleSequenceMenuUtils::HideTitleSequenceMenu TerminalMenu::OnButtonEventRelease MainMenu::OpenMainMenuAfterInstallScreen,
0x1459D7608,DAT_1459d7608,BGSSynchronizedAnimationManager,0,high,15,15,1,BGSSynchronizedAnimationManager:15,BGSCameraShot::Update Actor::Update BGSSaveLoadManager::IsSavingAllowed TESObjectREFR::PostChangeAnimationManager FUN_140e503b0 AIProcess::ProcessFleeNonCombat_High,
0x1459D75C8,VTABLE_std___Func_impl__lambda_d730822b51807b0f41c359f5064490f1__BSTThreadScrapSTLAllocator_void__void_BSFixedString_,ActorEquipManager,0,high,13,13,1,ActorEquipManager:13,ExamineMenu::BuildConfirmed _lambda_80a476fc3d69aa2bb867be782cc35a27_::operator() PowerArmor::DoActorToFurnitureSwap Actor::Disarm UnequipObjectFunctor::operator AIProcess::ProcessTravel,
0x1458D0AE0,DAT_1458d0ae0,SubtitleManager,0,high,11,11,1,SubtitleManager:11,Actor::SetLifeState TESObjectREFR::UpdateSoundCallBack Actor::SpeakSoundFunction Actor::UpdateSoundCallBack Actor::UpdateVoiceTimer TES::ShowLoadingMenu,
0x1458D0AE8,DAT_1458d0ae8,MessageMenuManager,0,high,11,11,1,MessageMenuManager:11,GameUIModel::UpdateDataModels SPECIALMenu::ConfirmReset CreationClub::ConfirmCloseCC LooksMenu::Call Workshop::RequestRepairItem MainMenu::CheckSaveDevice,
0x1458D0888,DAT_1458d0888,BGSDynamicPersistenceManager,0,high,10,10,1,BGSDynamicPersistenceManager:10,Main::OnIdle RE::PlayerCharacter::PickUpObject BGSSaveLoadManager::StartLoadGame TESQuest::ClearAliases TESObjectREFR::SetLinkedRef _lambda_15106a3c1d8b865cc749c66cef9b00d1_::operator(),
0x145A5FC90,DAT_145a5fc90,FavoritesManager,0,high,10,10,1,FavoritesManager:10,_lambda_4ce1469bbf66ccb13953eb18b8696bb8_::operator() _lambda_fec4ffef71b98e33ccd78e1028b12d7c_::_helper_func_cdecl_ HUDRolloverModel::DoUpdateActivatePrompt _lambda_c2c85e48c587e3423afd91b2ce165a49_::operator() UISaveLoadStaticData::Revert PipboyInventoryMenu::SetQuickkey,
0x1459DA218,DAT_1459da218,PlayerControls,0,high,9,9,1,PlayerControls:9,ThirdPersonState::HandleEvent FirstPersonState::ShouldHandleEvent PipboyManager::StopExamineMode VATSMenuPrivate::GameState::ChangeState TaskQueueInterface::TaskUnpackFunc VATS::SetMode,
0x1458D3308,DAT_1458d3308,GameVM,0,high,8,8,1,GameVM:8,Main::OnIdle BGSSaveLoadManager::StartLoadGame Script::ReloadPapyrusScript Main::PerformGameReset BGSSaveLoadManager::StartSaveGame,
0x145ADCBB0,DAT_145adcbb0,CombatEventHandler,0,high,7,7,1,CombatEventHandler:7,GameVM::LoadGameImpl GameVM::HandleChanged GameVM::DumpEventRegistrationsToLog GameVM::UnregisterForAllEvents GameVM::DumpPersistenceInformationToLog GameVM::DropAllRunningData,
0x1458D0780,VTABLE_BSTEventSink_PlayerCommandTypeEvent_,BSInputEnableManager,0,high,6,6,1,BSInputEnableManager:6,WorkshopMenu::HandleEvent DialogueMenu::DialogueMenu BGSSceneActionDialogue::LoadGame GameScript::HandlePolicy::ConvertHandleToString GameScript::`anonymous_namespace'::mem_InputEnableLayer_EnableSneaking,
0x145A735C8,DAT_145a735c8,BGSSaveLoadManager,0,high,6,6,1,BGSSaveLoadManager:6,BGSSaveLoadManager::SysUtilSaveCompleteCallback PlayerCharacter::HandlePositionPlayerRequest PlayerCharacter::WakeUp MainMenu::CheckSaveDevice GenerateMetadata,
0x145A73360,DAT_145a73360,BGSSaveLoadGame,0,high,5,5,1,BGSSaveLoadGame:5,TESObjectCELL::Detach _lambda_47d8dd0d248f647cbc441d21f8e31a97_::operator() BGSDynamicPersistenceManager::PromoteReference TESObjectREFR::InitItemImpl TESObjectCELL::UnLoadAllTempData,
0x1436EB8D0,PTR_DAT_1436eb8d0,NiAVObject,1,high,4,4,1,NiAVObject:4,BGSCameraShot::Update,
0x145A67A80,DAT_145a67a80,ObjectInterface,0,high,4,4,1,ObjectInterface:4,ModManager::UninstallBlacklistedMods ModManager::DoDeleteAllMods ModManager::SetLoadedPlugins,
