global_addr,current_symbol,inferred_type,is_pointer,confidence,votes,total,distinct_classes,class_votes,callers,decision_type
0x1420F8950,UIMessageQueue::GetSingleton,UIMessageQueue,0,high,33,33,1,UIMessageQueue:33,MenuOpenHandler::ProcessButton FUN_140915500 ContainerMenu::ProcessMessage FUN_140979f70 UISaveLoadManager::Handle GiftMenu::OpenMenu_Impl,
0x1430FC678,ActorEquipManager::GetSingleton,ActorEquipManager,0,high,14,14,1,ActorEquipManager:14,FUN_1406f20a0 BSTEventSink_SpeechRecognitionEvents::Recognition_::Handle FUN_14048a470 FUN_140877d40 InventoryChanges::RemoveItem FUN_1406fca70,
0x1420F8960,Calendar::GetSingleton,Calendar,0,high,13,13,1,Calendar:13,SkyrimVM::ProcessRegisteredUpdates FUN_1408f43a0 TESPackage::sub_1404398D0 FUN_14072e940 MapMenu::ProcessMessage BGSStoryManagerQuestFinder::Func3,
0x1430FD7F8,PlayerCamera::GetSingleton,PlayerCamera,0,high,11,11,1,PlayerCamera:11,FUN_1407750f0 FUN_14036c5b0 FUN_140764310 Main::Draw FUN_14065d2b0 PlayerCharacter::ctor_140699040,
0x143187778,Inventory3DManager::GetSingleton,Inventory3DManager,0,high,11,11,1,Inventory3DManager:11,ContainerMenu::ProcessMessage GiftMenu::ProcessMessage MagicMenu::ProcessMessage FUN_1408ebc90,
0x143169510,DAT_143169510,ObjectInterface,0,high,10,10,1,ObjectInterface:10,FUN_1405a29b0 FUN_1405a6630 FUN_1405a2800 ModManager::DeleteAllModsConfirmCallback::Func2 FUN_1405a2c30 FUN_1405a7eb0,
0x14315D090,DAT_14315d090,ObjectInterface,0,high,9,9,1,ObjectInterface:9,FUN_140573b30 FUN_140575910 FUN_140574320 FUN_140575d80,
0x1430FDA10,ControlMap::GetSingleton,ControlMap,0,high,8,8,1,ControlMap:8,FUN_14036c5b0 HUDMenu::ProcessMessage FUN_140fa3fa0,
0x1420F8958,InterfaceStrings::GetSingleton,INISettingCollection,1,high,7,7,1,INISettingCollection:7,MapMenu::sub_1408E7160 FastTravelConfirmCallback::Run StatsMenu::sub_1408C51B0 StatsMenu::ProcessMessage,
0x1420F6A10,GarbageCollector::GetSingleton,GarbageCollector,0,high,7,7,1,GarbageCollector:7,FUN_14028d1c0 FUN_1402d60d0 FUN_14061c090 FUN_1406bc9e0 FUN_1402e9950 FUN_140749c50,
0x143186D98,UIBlurManager::GetSingleton,UIBlurManager,0,high,6,6,1,UIBlurManager:6,TutorialMenu::__vecDelDtor FUN_140862b00 BarterMenu::ctor TweenMenu::ProcessMessage,
0x143137580,Pathing::GetSingleton,Pathing,0,high,6,6,1,Pathing:6,MagicCaster::FindTargets FUN_1404f2e80 FUN_1406811b0 CrossHairPickData::Pick_1403AA4B0,
0x143186D40,DAT_143186d40,BSFixedString,0,high,6,6,1,BSFixedString:6,FUN_140614320 Func1,
0x1420F69B0,ProcessLists::GetSingleton,ProcessLists,0,high,5,5,1,ProcessLists:5,FUN_140412ef0 SkyrimScript__Internal__CallbackList::sub_1408F5520 FUN_1407304f0 PlayerCharacter::GoToPrison,
