global_addr,current_symbol,inferred_type,is_pointer,confidence,votes,total,distinct_classes,class_votes,callers,decision_type
0x1420F9D50,UIMessageQueue::GetSingleton,UIMessageQueue,0,high,40,40,1,UIMessageQueue:40,Func1 Func5 Func0 Func4 FUN_140577e60 Func2,
0x143188B98,Inventory3DManager::GetSingleton,Inventory3DManager,0,high,13,13,1,Inventory3DManager:13,Func4 Func6 FUN_140906bd0 FUN_1409126e0,
0x1435F23A8,BSScaleformManager::GetSingleton,BSScaleformManager,0,high,11,11,1,BSScaleformManager:11,Func4 FUN_1409387f0 FUN_140972180 Func2 FUN_140985190 FUN_1409420d0,
0x143188160,DAT_143188160,BSFixedString,0,high,10,10,1,BSFixedString:10,Func1 FUN_140616580 FUN_1401a8ec0,
0x1430FDA78,ActorEquipManager::GetSingleton,ActorEquipManager,0,high,8,8,1,ActorEquipManager:8,FUN_1403bd4c0 FUN_140709870 Actor::RemoveCastScroll FUN_1406feca0 Func86 GameFunc::handler::EquipShout,
0x14316A930,DAT_14316a930,ObjectInterface,0,high,7,7,1,ObjectInterface:7,Func5 FUN_1405a8e20 FUN_1405a82d0 FUN_1405a50b0 FUN_1405a47d0 FUN_1405a6fc0,
0x1430FEE10,ControlMap::GetSingleton,ControlMap,0,high,7,7,1,ControlMap:7,FUN_14036c3e0 FUN_140fa5aa0 FUN_140576ad0,
0x1420F9D58,InterfaceStrings::GetSingleton,INISettingCollection,1,high,7,7,1,INISettingCollection:7,Func1 MenuEventHandler::ProcessThumbstick_1408C0D60 FUN_14094d960 FUN_140967160,
0x142034080,BSShaderManager::State::GetSingleton,ShadowSceneNode,0,high,6,6,1,ShadowSceneNode:6,FUN_1414cd060 FUN_14074e300 PlayerCharacter::ModifyAnimationUpdateData_1406B8ED0,
0x1420F9D60,Calendar::GetSingleton,Calendar,0,high,6,6,1,Calendar:6,SkyrimVM::ProcessRegisteredUpdates Func186 FUN_140730b70 FUN_140733c90 Func4,
0x1431394E8,MenuControls::GetSingleton,MenuControls,0,high,6,6,1,MenuControls:6,FUN_1409387f0 Func2 FUN_140576ad0 FUN_1405a2820 FUN_14094eee0 FUN_1409607f0,
0x143188178,DAT_143188178,BSFixedString,0,high,6,6,1,BSFixedString:6,Func1 FUN_140616580,
0x1431394E0,BGSImpactManager::GetSingleton,BGSImpactManager,0,high,6,6,1,BGSImpactManager:6,FUN_1407d3e70 Actor::CalculateCurrentHitTargetForWeaponSwing FUN_14062b780 FUN_1407eefb0 BGSImpactManager::PlayImpactEffect Main::Update,
0x1431B0338,DAT_1431b0338,ObjectInterface,0,high,5,5,1,ObjectInterface:5,FUN_1409485e0 Func0 Func5 FUN_141731520 FUN_140948af0,
0x1431B0350,DAT_1431b0350,ObjectInterface,0,high,5,5,1,ObjectInterface:5,FUN_1409485e0 Func0 Func5 FUN_140948af0,
0x14315E490,DAT_14315e490,ObjectInterface,0,high,5,5,1,ObjectInterface:5,FUN_140574f60 FUN_1405755c0 FUN_140573dc0 FUN_140573ad0,
0x1431881B8,UIBlurManager::GetSingleton,UIBlurManager,0,high,4,4,1,UIBlurManager:4,FUN_1409387f0 FUN_1409420d0 Func0,
0x14317BFF8,MagicFavorites::GetSingleton,MagicFavorites,0,high,4,4,1,MagicFavorites:4,FUN_14093fd50 Func4,
0x1420FCE70,SkyrimVM::GetSingleton,SkyrimVM,0,high,3,3,1,SkyrimVM:3,papyrus::ObjectReference::ForceRemoveRagdollFromWorld Main::Update,
0x1420F7DB0,ProcessLists::GetSingleton,ProcessLists,0,high,3,3,1,ProcessLists:3,FUN_1407db040 FUN_140732720,
0x14338DE28,DAT_14338de28,BSShader,0,high,3,3,1,BSShader:3,Func42 FUN_1414c1b40,
0x1420F7DF8,BGSDynamicPersistenceManager::GetSingleton,BGSDynamicPersistenceManager,0,high,3,3,1,BGSDynamicPersistenceManager:3,FUN_14028bee0 FUN_1403d2280 TESQuest::ForceRefIntoAlias,
0x143138980,Pathing::GetSingleton,Pathing,0,high,3,3,1,Pathing:3,FUN_14080a390 FUN_140402da0,
0x1420F9D88,BGSGrassManager::GetSingleton,GrassManager,0,high,3,3,1,GrassManager:3,Func152 FUN_14019aee0 Func1,
0x1431CB9D0,gBSAudioManager,BSAudioManager,0,high,2,2,1,BSAudioManager:2,FUN_140cb8eb0 Func3,
0x14313A2E0,CrosshairPickData::GetSingleton,CrossHairPickData,0,high,2,2,1,CrossHairPickData:2,PlayerCharacter::CenterOnCell_Impl PlayerCharacter::PickCrosshairReference,
0x14315E040,UserEvents::GetSingleton,InputControlIds,0,high,2,2,1,InputControlIds:2,FUN_140643ec0 FUN_140cd62d0,
0x1420F7E10,GarbageCollector::GetSingleton,GarbageCollector,0,high,2,2,1,GarbageCollector:2,FUN_14028bee0 FUN_14033f860,
0x1430FE780,ScreenSplatter::GetSingleton,ScreenSplatter,0,high,2,2,1,ScreenSplatter:2,FUN_14060c810 FUN_14060de30,
0x143188BA0,UI3DSceneManager::GetSingleton,UI3DSceneManager,0,high,2,2,1,UI3DSceneManager:2,Inventory3DManager::InitializeDisplayObject FUN_1409504a0,
0x143188B70,BSDirectInputManager::GetSingleton,BSDirectInputManager,0,high,2,2,1,BSDirectInputManager:2,Func3,
0x1432731C0,DAT_1432731c0,BSReadWriteLock,0,high,2,2,1,BSReadWriteLock:2,FUN_140d0b8e0,
0x14317BFC0,BGSSaveLoadGame::GetSingleton,BGSSaveLoadGame,0,high,2,2,1,BGSSaveLoadGame:2,FUN_1403bd4c0 Func118,
0x1431398F0,gUnknownPlayerDefaultBodyPartData,BGSBodyPartData,0,high,2,2,1,BGSBodyPartData:2,FUN_140687240 FUN_14068d790,
0x1431B0E20,DAT_1431b0e20,NiAVObject,0,high,2,2,1,NiAVObject:2,FUN_14098aad0 FUN_14098ace0,
0x14319A7C0,TaskQueueInterface::GetSingleton,TaskQueueInterface,0,high,2,2,1,TaskQueueInterface:2,Func205 FUN_14026f2d0,
0x1431886F0,TES::GetSingleton,TES,0,medium,21,27,4,TES:21 TESWorldSpace:4 BSAudioManager:1 TESObjectCELL:1,LoadedAreaBound::sub_1403A2DF0 FUN_14062ac10 FUN_14048df90 FUN_14098adb0 FUN_1407ebe10 FUN_1401fb2e0,
0x1430FEBF8,PlayerCamera::GetSingleton,PlayerCamera,0,medium,10,11,2,PlayerCamera:10 TESCamera:1,PlayerCharacter::PickCrosshairReference FUN_14074d600 FUN_14036c3e0 FUN_1407f6710 FUN_140766540 Func4,
