global_addr,current_symbol,inferred_type,is_pointer,confidence,votes,total,distinct_classes,class_votes,callers,decision_type
0x141EC0A80,Calendar::GetSingleton,Calendar,0,high,38,38,1,Calendar:38,FUN_1405b5490 FUN_1405d6840 BGSEncounterZone::isReset FUN_1407138b0 Actor::Update FUN_140685360,
0x141EC0A70,UIMessageQueue::GetSingleton,UIMessageQueue,0,high,25,25,1,UIMessageQueue:25,FUN_140880160 FUN_1408d9af0 PlayerCharacter::UpdateCrosshairs FUN_1405c6ee0 FUN_1405aec80 ContainerMenu::ProcessMessage,
0x141EBE428,TESDataHandler::GetSingleton,TESDataHandler,0,high,21,21,1,TESDataHandler:21,FUN_14028bce0 FUN_1405b5490 FUN_1408a26b0 TESForm::ctor FUN_140208d80 FUN_1406b11c0,
0x141EBEB20,UI::GetSingleton,MenuManager,0,high,20,20,1,MenuManager:20,FUN_1404b2960 Main::RenderWaterEffects FUN_1404c6160 FUN_1400ab7c0 FUN_1400abb40 Sky::FUN,
0x142F25388,DAT_142f25388,ObjectInterface,0,high,18,18,1,ObjectInterface:18,FUN_140514bd0 FUN_140518a80 FUN_140514cd0 FUN_1405159f0 FUN_140512710 FUN_140515480,
0x142F259F0,DAT_142f259f0,ObjectInterface,0,high,13,13,1,ObjectInterface:13,ModManager::DeleteAllModsConfirmCallback::Func2 FUN_1414db400 FUN_140536330 FUN_1405288c0 FUN_140524f10 FUN_14052e530,
0x141E0DED0,BSShaderManager::State::GetSingleton,ShadowSceneNode,0,high,11,11,1,ShadowSceneNode:11,Explosion::Release3DRelatedData FUN_1406b6eb0 FUN_14025b350 Main::Begin FUN_140299cc0 Explosion::Set3D,
0x142F266F8,BGSSaveLoadGame::GetSingleton,BGSSaveLoadGame,0,high,8,8,1,BGSSaveLoadGame:8,ArrowProjectile::InitItemImpl FUN_140289200 FUN_140299cc0 Explosion::Set3D TESDataHandler::CreateReferenceAtLocation,
0x142F253A0,DAT_142f253a0,ObjectInterface,0,high,8,8,1,ObjectInterface:8,FUN_14050fd90 FUN_1414dac70 FUN_140518a80 FUN_1405159f0 FUN_14050fa50,
0x142F257A0,BSScaleformManager::GetSingleton,BSScaleformManager,0,high,8,8,1,BSScaleformManager:8,FUN_14088cf70 RaceSexMenu::ProcessMessage RaceSexMenu::PostCreate MainMenu::ctor FUN_1408ce1f0 FUN_1408b1360,
0x142F259C0,DAT_142f259c0,ObjectInterface,0,high,8,8,1,ObjectInterface:8,FUN_140527930 FUN_14052a770 FUN_140524f10 FUN_14052a4e0 FUN_14052e530 FUN_1405250c0,
0x142F259D8,DAT_142f259d8,ObjectInterface,0,high,8,8,1,ObjectInterface:8,FUN_140527930 FUN_14052fe20 FUN_140524f10 FUN_14052c6a0 FUN_14052e530 FUN_1405253a0,
0x142F253D0,DAT_142f253d0,ObjectInterface,0,high,8,8,1,ObjectInterface:8,FUN_14051cd60 FUN_140518a80 FUN_1405159f0 FUN_1405137d0,
0x141EBEB30,GarbageCollector::GetSingleton,GarbageCollector,0,high,6,6,1,GarbageCollector:6,TESObjectREFR::Enable FUN_1402e9950 BGSDynamicPersistenceManager::DemoteReference FUN_140282280 FUN_14062aa60 FUN_14023b560,
0x142F4E4A0,DAT_142f4e4a0,ObjectInterface,0,high,6,6,1,ObjectInterface:6,FUN_1408a5260 FUN_1408a5dd0 FUN_1408a56a0 FUN_1408a5f10,
0x142F25A20,DAT_142f25a20,ObjectInterface,0,high,5,5,1,ObjectInterface:5,FUN_1405369e0 ModManager::DeleteAllModsConfirmCallback::Func2 FUN_140536780 FUN_14052e530 FUN_14052b590,
0x142F25A38,DAT_142f25a38,ObjectInterface,0,high,5,5,1,ObjectInterface:5,FUN_140536780 FUN_1414db3b0 FUN_14052e530 FUN_14052b590 FUN_14052d290,
0x141EC0A98,TESWaterSystem::GetSingleton,TESWaterSystem,0,high,5,5,1,TESWaterSystem:5,FUN_1405c6ee0 FUN_1404c0c40 FUN_1404ca2d0 FUN_140582320 FUN_14058a810,
0x143047330,DAT_143047330,MoviePlayer,0,high,5,5,1,MoviePlayer:5,FUN_1406b6eb0 FUN_1405af130 FUN_140153f80,
0x142F50B28,BSInputEventQueue::GetSingleton,BSInputEventQueue,0,high,5,5,1,BSInputEventQueue:5,BSTEventSink_SpeechRecognitionEvents::Recognition_::Handle BSWin32KeyboardDevice::Process BSInputDeviceManager::PollInputDevices BSPCOrbisGamepadDevice::Process,
0x142EC4838,ActorEquipManager::GetSingleton,ActorEquipManager,0,high,5,5,1,ActorEquipManager:5,Actor::DropObject FUN_140878550 BoundItemEffect::Finish,
0x142EC59B8,PlayerCamera::GetSingleton,PlayerCamera,0,high,4,4,1,PlayerCamera:4,FUN_14069f3e0 FUN_1407581f0,
0x142F26BF8,Main::GetSingleton,Main,0,high,4,4,1,Main:4,FUN_1405b8890 FUN_1405ae010 FUN_1405b2ff0,
0x141EC0A60,SubtitleManager::GetSingleton,SubtitleManager,0,high,3,3,1,SubtitleManager:3,FUN_1402862e0 FUN_1405e8f80 Sky::FUN,
0x141EBEB18,BGSDynamicPersistenceManager::GetSingleton,BGSDynamicPersistenceManager,0,high,3,3,1,BGSDynamicPersistenceManager:3,FUN_140374b20 FUN_14023b0d0 FUN_14023b560,
0x142EC5BD0,ControlMap::GetSingleton,ControlMap,0,high,3,3,1,ControlMap:3,FUN_14088cf70,
0x142F26780,UIBlurManager::GetSingleton,UIBlurManager,0,high,3,3,1,UIBlurManager:3,FUN_14088cf70 FUN_140897000 TutorialMenu::__vecDelDtor,
0x141EBEAD0,ProcessLists::GetSingleton,ProcessLists,0,high,3,3,1,ProcessLists:3,FUN_140740810 PlayerCharacter::LoadGame,
0x142F27188,UI3DSceneManager::GetSingleton,UI3DSceneManager,0,high,3,3,1,UI3DSceneManager:3,FUN_140897000 FUN_140888290,
0x142F003F0,BGSImpactManager::GetSingleton,BGSImpactManager,0,high,3,3,1,BGSImpactManager:3,FUN_140629090 FUN_1405a4810 FUN_1407531c0,
0x141EC3B80,BGSStoryTeller::GetSingleton,BGSStoryTeller,0,high,2,2,1,BGSStoryTeller:2,FUN_1409b1390,
0x142F27158,BSDirectInputManager::GetSingleton,BSDirectInputManager,0,high,2,2,1,BSDirectInputManager:2,BSWin32KeyboardDevice::Initialize BSWin32KeyboardDevice::Process,
